"sample.s","b0","divisor","NBod","nsnpi","full","short","fullNBod","fullBBod","fullb0","shrtNBod","shrtBBod","shrtb0"
2,0,0.5,0.01,1,0.056,0.06,0.00852301665727702,0.015104313775903,0.000965673445131653,0.00889361919574856,0.00889361919574856,0.000833085274800227
2,0,0.5,0.1,1,0.048,0.052,0.0922346894871952,0.197696061127749,-0.00535940550533315,0.115895701253249,0.115895701253249,-0.00380679152201111
2,0,0.5,0.5,1,0.04,0.066,0.461663160125012,0.988342713354798,0.00311235670283182,0.623298080385536,0.623298080385536,-0.00375679915491246
2,0,0.5,2,1,0.052,0.08,1.90168790913504,3.84401356718747,0.00784127702500501,2.24033639883109,2.24033639883109,0.00143270501524254
2,0,0.5,0.01,2,0.058,0.062,0.00853442253642059,0.0158430827131988,0.00137598021740292,0.00862948421853857,0.00862948421853857,0.000785111930566902
2,0,0.5,0.1,2,0.062,0.074,0.0928962734236923,0.192387171611041,-0.00254845841721362,0.113270361506285,0.113270361506285,-0.000437186860783788
2,0,0.5,0.5,2,0.098,0.148,0.467109096968022,0.97497486774882,0.00420974744443504,0.646809209132885,0.646809209132885,-0.00617715440077214
2,0,0.5,2,2,0.13,0.196,1.91135722034138,3.91356395192037,0.00692331950245437,2.33750916724549,2.33750916724549,0.00338135189130415
2,0,0.5,0.01,4,0.06,0.064,0.00829606576432278,0.0137545355061184,-0.00205599175027953,0.00838609158310741,0.00838609158310741,-0.00109153005425231
2,0,0.5,0.1,4,0.084,0.108,0.0913348079391331,0.18714537445479,0.00169695998922321,0.104057192330749,0.104057192330749,0.00117704770676222
2,0,0.5,0.5,4,0.18,0.264,0.472637681928283,0.972020239639659,-0.0186729296011385,0.646190335557527,0.646190335557527,-0.0242450943907919
2,0,0.5,2,4,0.232,0.286,1.91958437604501,3.8469145342068,0.00681824978992521,2.41479401878755,2.41479401878755,0.00898184570432609
