,SumSq,Typ1per,T1P-val,Typ3per,T3P-val,Marg.R
log(OD_BB),6471,6.7,6.3e-244,8.2,3.4e-294,6.7
ASReC_R,2580,2.7,8.4e-101,1, 1.5e-39,0.6
n-fSNP,1813,1.9, 1.0e-71,1.6, 3.6e-63,2.7
ASReC_R:n-fSNP,458,0.5, 1.6e-19,0.7, 4.3e-26,0
ASReC_R:log(OD_BB),4865,5,1.1e-185,3.2,1.1e-118,1.3
n-fSNP:log(OD_BB),752,0.8, 5.7e-31,1, 1.1e-37,0.4
ASReC_R:n-fSNP:log(OD_BB),168,0.2, 4.2e-08,0.2, 1.7e-10,0.1
n-rSNP,1,0, 7.3e-01,0, 5.2e-01,1
log(OD_NB),38,0, 9.0e-03,0, 3.6e-03,0.8
ASReC_T,358,0.4, 1.3e-15,0.4, 3.1e-16,0.1
ASReC_T:ASReC_R,291,0.3, 5.8e-13,0.2, 1.1e-10,0
AF,45,0, 4.4e-03,0.1, 2.2e-03,0
Chi2-HWEC,191,0.2, 5.1e-09,0.2, 1.1e-08,0.3
Map.Err,16,0, 9.0e-02,0, 2.4e-01,1.1
Ref.Bias,304,0.3, 1.7e-13,0.3, 1.7e-13,2.1
Med(perm-p),0,0, 9.7e-01,0, 9.7e-01,0.4
