,SumSq,Typ1per,T1P-val,Typ3per,T3P-val,Marg.R
log(OD_BB),1268,15.5,3.9e-12,5.2,3.2e-05,15.5
ASReC_R,1,0,8.2e-01,0.1,6.1e-01,1.7
n-fSNP,449,5.5,1.9e-05,1.4,3.0e-02,2.6
ASReC_R:n-fSNP,1,0,8.4e-01,0.6,1.3e-01,1.2
ASReC_R:log(OD_BB),332,4.1,2.2e-04,3.1,1.1e-03,8.9
n-fSNP:log(OD_BB),155,1.9,1.1e-02,0.3,3.0e-01,0
ASReC_R:n-fSNP:log(OD_BB),27,0.3,2.8e-01,0.2,4.5e-01,0.1
n-rSNP,149,1.8,1.3e-02,1.9,1.2e-02,0.1
log(OD_NB),182,2.2,5.8e-03,1.4,3.0e-02,0.6
ASReC_T,211,2.6,3.0e-03,3.2,1.1e-03,2.5
ASReC_T:ASReC_R,127,1.6,2.1e-02,1.2,3.9e-02,0.7
AF,36,0.4,2.2e-01,0.2,4.5e-01,1.7
Chi2-HWEC,5,0.1,6.5e-01,0.1,5.4e-01,0.1
Map.Err,30,0.4,2.6e-01,0.2,4.0e-01,0.1
Ref.Bias,14,0.2,4.5e-01,0.3,3.3e-01,0.4
Med(perm-p),75,0.9,7.5e-02,0.9,7.5e-02,2.4
