,SumSq,Typ1per,T1P-val,Typ3per,T3P-val,Marg.R
log(OD_BB),1023,3.7,2.1e-114,3.5,1.3e-108,3.7
ASReC_R,81,0.3, 1.1e-10,0.4, 9.6e-14,0
n-fSNP,650,2.3, 6.2e-74,1.2, 1.4e-39,2
ASReC_R:n-fSNP,27,0.1, 2.0e-04,0.2, 2.6e-08,0
ASReC_R:log(OD_BB),381,1.4, 2.6e-44,0.8, 4.9e-27,0
n-fSNP:log(OD_BB),150,0.5, 1.6e-18,0.3, 3.0e-12,0.1
ASReC_R:n-fSNP:log(OD_BB),0,0, 8.5e-01,0, 1.6e-01,0.1
n-rSNP,24,0.1, 4.8e-04,0, 2.6e-02,1.1
log(OD_NB),38,0.1, 1.0e-05,0.1, 4.3e-05,2.1
ASReC_T,75,0.3, 5.8e-10,0.3, 5.7e-11,0.2
ASReC_T:ASReC_R,81,0.3, 1.2e-10,0.3, 9.9e-10,0.1
AF,0,0, 8.4e-01,0, 7.8e-01,0
Chi2-HWEC,116,0.4, 1.1e-14,0.4, 1.6e-14,0.7
Map.Err,9,0, 2.8e-02,0.1, 1.9e-03,0.1
Ref.Bias,18,0.1, 2.5e-03,0.1, 2.6e-03,0.6
Med(perm-p),1,0, 4.9e-01,0, 4.9e-01,0
