,SumSq,Typ1per,T1P-val,Typ3per,T3P-val,Marg.R
(Intercept),325.521600038927,1.1,1.4e-02,5,4.3e-07,1.1
log(OD_BB),2471.26667085227,8.7,6.8e-11,0.5,9.7e-02,9.8
ASReC_R,2721.77742520016,9.6,9.3e-12,1.2,1.2e-02,15
n-fSNP,4.66504088070087,0,7.7e-01,1,2.2e-02,0.1
ASReC_R:n-SNP,4650.62022299199,16.4,6.5e-18,0.4,1.3e-01,28.1
ASReC_R:log(OD_BB),180.126492171182,0.6,6.5e-02,0.3,2.0e-01,12.1
n-fSNP:log(OD_BB),0.697441759458459,0,9.1e-01,0.6,8.1e-02,8.8
ASReC_R:n-fSNP:log(OD_BB),4.73752255964444,0,7.6e-01,0,7.3e-01,0.4
n-rSNP,5134.47164015107,18.1,2.5e-19,17,1.8e-18,30.5
log(OD_NB),195.113309150878,0.7,5.5e-02,0.1,4.2e-01,5.5
ASReC_T,754.942893613972,2.7,1.9e-04,2.2,6.5e-04,4.8
ASReC_T:ASReC_R,30.932851770642,0.1,4.4e-01,0.3,2.3e-01,0.7
AF,1.73701933190359,0,8.6e-01,0,9.0e-01,0.4
Chi2-HWEC,7.73557064018558,0,7.0e-01,0,6.5e-01,1.4
Map.Err,196.525322798807,0.7,5.4e-02,0.8,4.4e-02,0
Ref.Bias,74.8405502813531,0.3,2.3e-01,0.3,2.3e-01,9.4
