,Est,SE,P-val,Marg.Est,Marg.P
(Intercept),1.264,1,2.1e-01,4.572,1.8e-82
log(OD_BB),3.552,0.228,2.7e-49,3.463,2.4e-77
ASReC_R,2.405,0.486,8.8e-07,-0.408,1.0e-01
n-fSNP,1.889,0.306,9.2e-10,1.755,8.3e-14
ASReC_R:n-fSNP,0.428,0.254,9.2e-02,0.745,2.2e-04
ASReC_R:log(OD_BB),0.981,0.191,3.5e-07,2.176,1.4e-35
n-fSNP:log(OD_BB),-0.453,0.188,1.6e-02,0.338,8.1e-02
ASReC_R:n-fSNP:log(OD_BB),-0.285,0.16,7.5e-02,-0.128,4.4e-01
n-rSNP,-0.277,0.199,1.6e-01,0.781,9.3e-04
log(OD_NB),-1.166,0.214,6.6e-08,0.423,6.6e-02
ASReC_T,-2.429,0.395,1.1e-09,-0.852,1.3e-04
ASReC_T:ASReC_R,0.176,0.153,2.5e-01,-0.29,3.5e-02
AF,-0.403,0.171,1.9e-02,-0.839,1.6e-04
Chi2-HWEC,-0.248,0.176,1.6e-01,-0.148,5.2e-01
Map.Err,-0.141,0.155,3.6e-01,0.622,1.3e-04
Ref.Bias,-0.06,0.175,7.3e-01,1.194,6.3e-12
Med(perm-p),0.45,0.245,6.7e-02,0.458,1.6e-02
