,Est,SE,P-val,Marg.Est,Marg.P
(Intercept),-0.492,0.177, 5.5e-03,-0.887,2.1e-225
log(OD_BB),0.933,0.036,6.9e-144,0.322, 3.5e-32
ASReC_R,0.83,0.079, 7.6e-26,0.406, 1.6e-50
n-fSNP,0.539,0.033, 5.4e-58,0.57, 1.6e-99
ASReC_R:n-SNP,0.289,0.03, 4.4e-22,0.039, 9.9e-02
ASReC_R:log(OD_BB),0.612,0.03, 2.4e-92,0.342, 1.1e-48
n-fSNP:log(OD_BB),0.4,0.029, 3.4e-43,0.226, 1.0e-22
ASReC_R:n-fSNP:log(OD_BB),0.224,0.022, 2.7e-25,-0.071, 6.5e-06
n-rSNP,0.108,0.028, 1.0e-04,0.356, 5.0e-39
log(OD_NB),-0.355,0.034, 8.4e-25,-0.074, 6.5e-03
ASReC_T,-0.507,0.073, 3.9e-12,0.301, 1.9e-28
ASReC_T:ASReC_R,0.165,0.025, 4.7e-11,-0.011, 6.4e-01
AF,0.035,0.025, 1.7e-01,0.054, 4.5e-02
Chi2-HWEC,-0.165,0.025, 7.8e-11,-0.211, 8.1e-15
Map.Err,-0.163,0.031, 1.6e-07,0.033, 2.3e-01
Ref.Bias,0.215,0.032, 3.7e-11,0.144, 1.6e-07
Med(perm-p),-0.132,0.043, 2.3e-03,-0.423, 2.3e-54
