,SumSq,Typ1per,T1P-val,Typ3per,T3P-val,Marg.R
log(OD_BB),14032,28.9,1.7e-92,13.6,2.7e-49,28.9
ASReC_R,941,1.9,5.5e-09,1.4,8.8e-07,0.3
n-fSNP,2139,4.4,3.3e-18,2.1,9.2e-10,5.3
ASReC_R:n-fSNP,61,0.1,1.3e-01,0.2,9.2e-02,1.3
ASReC_R:log(OD_BB),1243,2.6,2.3e-11,1.5,3.5e-07,14.1
n-fSNP:log(OD_BB),310,0.6,7.6e-04,0.3,1.6e-02,0.3
ASReC_R:n-fSNP:log(OD_BB),80,0.2,8.7e-02,0.2,7.5e-02,0.1
n-rSNP,168,0.3,1.3e-02,0.1,1.6e-01,1.1
log(OD_NB),842,1.7,3.4e-08,1.7,6.6e-08,0.3
ASReC_T,1085,2.2,4.0e-10,2.1,1.1e-09,1.4
ASReC_T:ASReC_R,68,0.1,1.1e-01,0.1,2.5e-01,0.4
AF,174,0.4,1.2e-02,0.3,1.9e-02,1.4
Chi2-HWEC,66,0.1,1.2e-01,0.1,1.6e-01,0
Map.Err,35,0.1,2.6e-01,0,3.6e-01,1.4
Ref.Bias,2,0,7.8e-01,0,7.3e-01,4.5
Med(perm-p),92,0.2,6.7e-02,0.2,6.7e-02,0.6
