id,int,sex,cond,sex_cond,p_int,p_sex,p_cond,p_sex_cond
ENSG00000174373.16,0.542259880544259,-3.02030503288653,-0.583712447848414,1.28587359875224,0.900952166540481,0.493321100342383,0.720178160242498,0.43581033179345
ENSG00000257585.1,-0.79845941115527,-0.458726783776917,0.0937414000484006,0.17554145307396,0.250013884504756,0.503644798909381,0.729432227310103,0.518851032185317
ENSG00000229415.9,-2.01956546401612,-1.51603396133749,0.485495696302216,0.633417647415446,0.847610682806334,0.885238488137157,0.907697602533457,0.879800549715528
ENSG00000151338.18,-4.91211770305671,-2.75628326047518,1.41929818884307,0.829768027968468,0.358804000641484,0.602795980236679,0.456285563221763,0.661048233504258
ENSG00000139874.5,-0.291149760647175,0.0770773945242717,-0.163879964783627,-0.0346761302930762,0.68093525605356,0.912868957135504,0.555336434216768,0.899597249815863
ENSG00000165792.17,-1.10953798806009,0.668466222068672,0.189423655517149,-0.285240462909378,0.00565889754308152,0.0873138661806692,0.229970483003111,0.0733210968549795
ENSG00000259070.5,-0.596878742308472,-1.06280189819568,-0.0780747462376005,0.465220798464323,0.812076373003106,0.673468083828595,0.935483722756011,0.632446737929464
ENSG00000100934.14,-0.367718559320003,0.349580691044245,-0.154071598374207,-0.154559830851228,0.226476790429745,0.249906967305061,0.222742748139788,0.221300362643514
ENSG00000182400.14,-0.506984646815768,0.20830136754156,-0.0642034241346884,-0.0913999979814467,4.92590152395875e-05,0.0791059357252523,0.191745297049316,0.0648227140716579
ENSG00000100941.8,-0.753495774417161,-0.0602128160469604,0.0269683775793537,0.0269481221644236,5.27012534751422e-10,0.55552436969199,0.514141218637401,0.514456147398024
ENSG00000150527.16,-1.46722351750736,-0.353631283396633,0.281301863364529,0.139449015372199,0.00591165582713173,0.447653334536904,0.156184243158156,0.4698268895115
ENSG00000136319.11,-0.285558884892002,-0.503073457599783,-0.164310152067122,0.218519052041969,0.449303463518593,0.185697121647537,0.283396957063581,0.155841486059085
ENSG00000179454.13,0.587264356163882,1.20682929338245,-0.479656469345247,-0.472635157094525,0.474282956300636,0.149575788439111,0.132085580960154,0.137520726902139
