id,int,sex,cond,sex_cond,p_int,p_sex,p_cond,p_sex_cond
ENSG00000127526.14,-0.982079458832331,-0.360011424073752,0.00417133439496192,0.00499671237905982,0.0491381243091072,0.446524543396183,0.56754040773714,0.494447087873057
ENSG00000214046.8,-0.625321382421789,-0.140140626562106,0.000526072167402719,0.00234756176197535,5.50311937791592e-06,0.18500739512087,0.762914375252161,0.187527866090426
ENSG00000267904.1,-0.746859333347518,0.140992634183443,6.96406736354163e-05,-0.00123231196495555,0.240270544813997,0.820257845544912,0.995020797350144,0.912089304113541
ENSG00000072954.6,-0.452718060944692,-0.169319131930131,-0.00211790092646959,0.00278248094550592,0.0136261019378176,0.33139715693774,0.466572221483037,0.340597156700613
ENSG00000188039.13,-0.40770487711294,0.17237105774714,-0.00196914417281523,-0.00350931391339728,0.0101167802745985,0.268908062281614,0.454731219846556,0.184397808514934
ENSG00000127511.9,-0.671654104198929,0.0877837033006445,0.000407144565108603,-0.00166664935474338,3.82631107411041e-17,0.128805730257535,0.68186897313753,0.097015800179139
ENSG00000160111.12,-1.72347927324986,-1.30517379444007,0.0163439843459728,0.0214438223976006,0.000448568814353113,0.00547052322092162,0.0284704174362698,0.00520330524857801
ENSG00000131351.14,-0.48517343052144,0.319733134988227,-0.00241115251744027,-0.00537460233271815,0.0399797785730997,0.167358939694016,0.535951069175225,0.173041358694009
ENSG00000099331.13,-0.677029116877861,-0.134246277176474,2.68639427331035e-05,0.00242745494375679,3.51815655781839e-09,0.0562770928604876,0.981098580073458,0.0429646000907062
ENSG00000053501.12,-0.721728285612652,0.0259811300239034,0.00303353913222531,0.000723501501976348,0.0186033977863015,0.925027062813769,0.534618425570549,0.881476524656989
ENSG00000228300.13,-0.956154339178665,0.141344068456361,0.00388132168373843,-0.00212409711816311,2.07406101522496e-07,0.311764425205862,0.105972260636579,0.367815249731134
ENSG00000099330.8,-0.839056020959226,-0.0463144135097519,0.00546906498820646,0.000859365234945081,1.72423731228854e-05,0.789588255062988,0.0596744107627971,0.762406373309669
ENSG00000160113.5,-0.67764275704894,-0.158030902864298,-0.00112337112299766,0.00347070674156406,0.260715848482564,0.787277485504959,0.906939733139645,0.718714429947096
