nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000259004.1,-4.135607722,0.194782417,1.27E-06,1.73E-05,2.39E-05,0,0.001686754
ENSG00000078304.19,0.110015085,0.004444883,0.870090449,0.899358614,0.899767356,0,0.795917627
ENSG00000271780.1,-2.760794544,0.106072857,0.228221488,0.369285331,0.367215061,0,0.637786913
ENSG00000197102.10,-2.108940999,0.113436328,0.001409042,0.00100712,0.000969248,1,0.026575596
ENSG00000080824.18,-0.436202777,0.018016696,0.361105594,0.462891469,0.499515707,0,0.695438657
ENSG00000140153.17,0.069044425,-0.001043682,0.967140121,0.990332932,0.990375806,0,0.809230594
ENSG00000211795.3,-1.492710865,0.075702902,0.361813416,0.359509744,0.361369291,0,0.633747893
ENSG00000022976.15,-0.34172675,0.015432126,0.678719304,0.719387306,0.719418236,0,0.758200974
ENSG00000100865.14,-0.078626945,-0.000771006,0.78688405,0.959746113,0.959750235,0,0.805156238
ENSG00000196663.15,-0.584037023,0.026298326,0.001454899,0.006607022,0.00773842,0,0.103385103
ENSG00000156381.8,1.057733897,-0.044328871,0.005020788,0.023552715,0.024096095,0,0.202746695
ENSG00000089902.9,-0.255998811,0.00911467,0.450168113,0.604261601,0.606042552,0,0.728189131
ENSG00000131323.14,0.072774824,0.001885258,0.91774656,0.958575735,0.958751092,0,0.804931705
ENSG00000198752.10,0.829979045,-0.034208042,0.314198086,0.419630646,0.419233231,0,0.662379213
ENSG00000185215.8,0.130508296,-0.001478773,0.471967268,0.876328482,0.876504812,0,0.791350043
ENSG00000100664.10,-0.106891915,0.010146229,0.739892751,0.544696535,0.545175332,0,0.710978151
ENSG00000075413.17,0.839215546,-0.037046228,0.027705186,0.062212888,0.063935372,0,0.324559807
ENSG00000166165.12,-0.265886845,0.009392677,0.794456453,0.859491115,0.859703084,0,0.787197785
ENSG00000260285.1,-0.735539618,0.025222099,0.745236732,0.832035464,0.832182498,0,0.78058417
ENSG00000166166.12,0.920057793,-0.054170508,0.436238538,0.376851374,0.376640157,0,0.639780278
ENSG00000166170.9,0.781879309,-0.045952744,0.198280863,0.144147081,0.147990199,0,0.469385982
ENSG00000126214.21,-0.434749986,0.016130933,0.022623279,0.10398157,0.105657123,0,0.408115102
ENSG00000256053.7,0.85672171,-0.056192456,0.304749138,0.196116649,0.203907129,0,0.528669622
ENSG00000246451.2,-0.731271045,0.029959056,0.283170704,0.391368028,0.393391543,0,0.64798884
ENSG00000269940.1,1.189778911,-0.076857591,0.41008189,0.301660992,0.300632948,1,0.597152573
ENSG00000269958.1,-0.425604362,0.011506638,0.286164577,0.580800844,0.580591205,0,0.72183173
ENSG00000126215.13,-0.968120768,0.03829422,0.000193831,0.004666192,0.00504083,0,0.078667869
ENSG00000100711.13,-0.016110772,-0.004500927,0.984550474,0.91658325,0.916603138,0,0.799269091
ENSG00000156411.9,0.113432114,-0.017759097,0.858613078,0.596607217,0.598130673,0,0.726321984
ENSG00000156414.18,-0.284080138,-0.010483757,0.639972132,0.744237823,0.742524842,0,0.764231413
ENSG00000066735.14,-6.033698014,0.302674211,0.061253124,0.063650181,0.083875621,0,0.369463333
ENSG00000203485.12,-0.324610033,-0.002745597,0.621423291,0.936210905,0.936307504,0,0.801272233
ENSG00000184990.12,0.308597495,-0.00872423,0.386514629,0.638141792,0.638960898,0,0.737802903
ENSG00000142208.15,-0.323100049,0.011143177,0.263629816,0.456420996,0.457029163,0,0.678320135
ENSG00000166428.12,-1.278348892,0.053942185,0.160353489,0.238937688,0.252562838,0,0.563871275
ENSG00000170779.10,0.16557899,-0.010718533,0.824883064,0.779936601,0.780019781,0,0.770431928
ENSG00000183484.11,-0.22952855,0.015605657,0.462943773,0.340870336,0.341987505,0,0.624222401
ENSG00000183828.14,3.160924615,-0.178171588,0.181368576,0.138302898,0.141108054,0,0.464785621
ENSG00000185024.16,0.263656492,-0.012143971,0.734095357,0.75965972,0.759654953,1,0.768018093
ENSG00000184887.13,0.857180617,-0.037704389,0.006788481,0.021643387,0.02206111,0,0.192681539
ENSG00000179364.13,-0.928526289,0.056690818,0.285236779,0.196951563,0.196793237,1,0.522512442
ENSG00000182979.17,1.475746012,-0.071928871,0.007782493,0.011266006,0.012376142,0,0.134822834
ENSG00000182809.10,-5.068727197,0.289085776,0.123476934,0.088100441,0.084406041,0,0.369970953
ENSG00000213145.9,-0.119768373,0.012770152,0.475273343,0.140917586,0.14095066,0,0.464785621
ENSG00000185347.17,0.530947334,-0.035696803,0.527497974,0.406555015,0.412808933,0,0.659126151
ENSG00000211890.3,-3.457059009,0.209946145,0.068800663,0.035146349,0.036934836,0,0.255337579
ENSG00000211892.3,0.792865828,0.026008871,0.825983828,0.888764055,0.893594224,0,0.79444477
ENSG00000277030.1,-3.319970026,0.194482639,0.009570062,0.003230745,0.003766782,0,0.065050742
ENSG00000211893.3,2.044924086,-0.08205019,0.04827692,0.130929968,0.129662491,0,0.451165894
ENSG00000092094.10,0.033279467,-0.00521371,0.887301147,0.667018206,0.668028077,0,0.744331284
ENSG00000253364.2,-5.247723079,0.272060155,0.25211201,0.244394187,0.246413388,0,0.560831581
ENSG00000253755.1,-3.910324333,0.296411944,0.385915562,0.206225772,0.23531855,0,0.553868968
ENSG00000211895.4,6.010253225,-0.28737391,0.07140742,0.097675225,0.096167883,0,0.392762622
ENSG00000211896.7,-1.280095534,0.044768615,0.352873261,0.533492177,0.527975562,0,0.706286153
ENSG00000211897.8,-2.014645815,0.080911044,0.46070862,0.567993335,0.565063362,0,0.717092088
ENSG00000211898.7,0.596732861,-0.037217789,0.231626312,0.15194434,0.152259792,0,0.474621
ENSG00000211899.9,-0.162053332,0.002000632,0.466891429,0.863487991,0.863416344,0,0.787995928
ENSG00000211803.2,5.685176194,-0.307419981,0.250327602,0.216168452,0.237891598,0,0.556144077
ENSG00000211900.2,-3.271022246,0.164488722,0.094937963,0.09650407,0.101023448,0,0.398332027
ENSG00000242472.1,-0.551724994,0.039415512,0.770224392,0.684696842,0.684691968,1,0.748259518
ENSG00000226777.7,-2.626457572,0.112405749,0.055018948,0.110435914,0.113824168,0,0.420173536
ENSG00000211934.3,-0.18592457,-0.051952995,0.868570763,0.372896613,0.37638459,0,0.639780278
ENSG00000276775.1,5.423545009,-0.095021621,0.089100305,0.560320598,0.543623844,0,0.710481064
ENSG00000211938.2,-1.653110521,0.131670385,0.303405567,0.117693442,0.123450905,0,0.440241498
ENSG00000211942.3,2.654546238,-0.18869265,0.561344597,0.418960297,0.392914577,0,0.647943709
ENSG00000211945.2,-1.347006843,0.066714773,0.364569276,0.389441221,0.387961596,0,0.645595866
ENSG00000211946.3,-0.014951818,-0.100840675,0.999027413,0.870113893,0.862894394,0,0.787680915
ENSG00000211947.2,-0.039346113,0.040179904,0.978028827,0.587058629,0.589093072,0,0.72491411
ENSG00000211950.2,-6.446803235,0.3176515,0.002822442,0.004047736,0.005370941,0,0.08209435
ENSG00000211952.3,3.931981501,-0.137448433,0.64057868,0.745882314,0.746610325,0,0.764990426
ENSG00000211806.2,5.645807785,-0.276903647,0.300361694,0.312031472,0.308774166,0,0.60234643
ENSG00000211959.2,2.58489374,-0.165650771,0.102940726,0.045770596,0.051124761,0,0.29702491
ENSG00000211962.2,5.809900166,-0.26297508,0.045350854,0.073693318,0.066135858,0,0.32961044
ENSG00000211964.3,3.180033855,-0.029950799,0.098561705,0.762122875,0.746449626,0,0.764913723
ENSG00000211965.4,2.886283622,-0.117940278,0.086606539,0.169141689,0.177172867,0,0.502651326
ENSG00000211966.2,-0.328842259,0.031713274,0.785942662,0.610389311,0.613205079,0,0.730330634
ENSG00000211967.3,5.14043483,-0.21750916,0.141151221,0.224720165,0.200775618,0,0.525464933
ENSG00000211968.3,3.24563141,-0.13292163,0.282079683,0.385230314,0.373521058,0,0.639258502
ENSG00000211970.3,-3.637740097,0.131108048,0.092886453,0.235163749,0.240999206,0,0.557412749
ENSG00000211807.3,4.076058251,-0.19431127,0.175566093,0.194321077,0.198702502,0,0.524073765
ENSG00000223648.4,3.737082604,-0.25698027,0.198259357,0.086172883,0.076105916,0,0.353038875
ENSG00000211973.2,-5.053607699,0.196604995,0.340838353,0.460945478,0.450385975,0,0.675094357
ENSG00000274576.2,-3.141499762,0.223713055,0.073295993,0.012781345,0.016953716,0,0.162447655
ENSG00000224650.2,-3.275557708,0.196768375,0.486809287,0.413297114,0.386829979,0,0.644949518
ENSG00000211978.2,2.153468459,-0.101899379,0.645338681,0.659925115,0.666644059,0,0.744331284
ENSG00000211812.1,-0.186370129,0.003213819,0.929324474,0.976063941,0.975950934,0,0.807985366
ENSG00000211816.2,-8.277315676,0.417924508,0.079264873,0.074544933,0.066901285,0,0.331940011
ENSG00000211825.1,-3.804454665,0.242980498,0.24593846,0.15484386,0.185764974,0,0.511864834
ENSG00000100823.11,-2.962404287,0.172659607,0.066542516,0.035713873,0.036442066,0,0.253900717
ENSG00000277734.7,-0.330928544,0.012834573,0.374556255,0.507301421,0.509107644,0,0.698277791
ENSG00000129562.10,0.444572438,-0.018069087,0.302806225,0.423614263,0.423843207,0,0.664481106
ENSG00000100439.10,-0.290118111,0.003998767,0.400219554,0.826069275,0.826175026,0,0.780240473
ENSG00000155463.12,-0.859546151,0.050656503,0.002434766,0.00065015,0.000872117,0,0.024438767
ENSG00000155465.18,-0.159704364,0.004213247,0.608129283,0.795842964,0.796018085,0,0.773869976
ENSG00000172590.18,-0.957513787,0.062382494,0.016039431,0.002756217,0.003240957,0,0.060042633
ENSG00000157227.12,-0.048446405,0.007616011,0.847607764,0.565042497,0.564988475,0,0.717092088
ENSG00000197324.8,-1.415411026,0.060597185,0.283867857,0.369648141,0.380451747,0,0.642456854
ENSG00000139890.9,-0.389574517,0.013944019,0.043859029,0.171189702,0.171695686,0,0.498046223
ENSG00000100461.17,-0.58254544,0.02891942,0.432434654,0.458107755,0.460313773,0,0.679687127
ENSG00000165782.10,-0.362170664,0.009797431,0.35074537,0.628652808,0.628465226,0,0.734654699
