nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000235169.7,2.609372536,-0.287808886,0.066140069,0.010631909,0.008038708,0,0.087309694
ENSG00000265972.5,0.163509294,-0.00620179,0.0236392,0.27118768,0.273108212,0,0.549704318
ENSG00000264343.5,-0.330729193,0.003604464,0.807351793,0.973250242,0.973241382,0,0.779874105
ENSG00000268043.7,0.658687326,-0.038078031,0.311289919,0.454480442,0.455578354,0,0.654802074
ENSG00000131791.7,0.780282857,-0.049509015,0.009498308,0.034978381,0.037662513,0,0.23572716
ENSG00000130764.9,0.347540233,-0.036537049,0.10699572,0.029559413,0.031477073,0,0.215922652
ENSG00000131778.18,1.275484843,-0.080740154,1.86E-07,2.01E-05,2.43E-05,0,0.001177495
ENSG00000263956.6,-0.127974645,0.04321179,0.878685254,0.501322756,0.49969198,0,0.669790205
ENSG00000231551.8,2.335257293,-0.16560763,0.011034426,0.025086846,0.026880914,0,0.195984258
ENSG00000269713.7,1.022224854,-0.04851406,0.656148324,0.789027712,0.781335798,0,0.741663783
ENSG00000274265.4,-0.863211445,0.088449993,0.628334244,0.519557784,0.52643747,0,0.679707137
ENSG00000116198.12,-1.558950146,0.097811488,4.16E-09,1.72E-06,3.35E-06,0,0.0002458
ENSG00000150337.13,-2.922786166,0.186566527,0.18225931,0.264717003,0.284844609,0,0.557505503
ENSG00000203814.6,-0.143240787,0.034301583,0.864532809,0.598694208,0.600049486,0,0.700949359
ENSG00000261716.1,0.860831135,-0.043695081,0.414186382,0.59814648,0.599054231,0,0.700949359
ENSG00000143368.9,0.634874404,-0.03912893,0.337665094,0.459173954,0.459072128,0,0.65530153
ENSG00000198912.10,-0.300274336,0.001122637,0.399604791,0.967640206,0.967956605,0,0.779691796
ENSG00000117362.12,-0.054794198,0.010560604,0.830576675,0.599394447,0.604065578,0,0.700949359
ENSG00000266472.5,-0.233141452,0.004058702,0.39567428,0.848177618,0.848522273,0,0.755511861
ENSG00000117360.12,-0.026940808,0.009832469,0.938787159,0.716602633,0.716994928,0,0.729751704
ENSG00000163125.15,0.352485817,-0.01681085,0.191446097,0.422018679,0.421972232,1,0.640537895
ENSG00000143374.16,-0.717982173,0.041972463,0.27643118,0.410477369,0.410996834,0,0.636328067
ENSG00000143369.14,2.624546445,-0.226233726,0.120611987,0.080107856,0.080401778,0,0.342951676
ENSG00000237781.3,-0.318630146,0.007525658,0.651621441,0.891439346,0.891149442,0,0.76678746
ENSG00000143382.14,0.128290031,0.017495127,0.889587967,0.809870207,0.810155655,0,0.747652825
ENSG00000203804.4,1.430495331,-0.082905548,0.142835181,0.28923057,0.287188361,0,0.55829884
ENSG00000143384.12,0.389021175,-0.01914302,0.0011304,0.042575992,0.042961969,0,0.24923262
ENSG00000143420.18,-0.289547154,0.02967652,0.317747901,0.187657462,0.19063214,0,0.485468521
ENSG00000143457.10,-0.873019485,0.054227204,0.087736084,0.176112006,0.18062672,0,0.472625174
ENSG00000131697.17,0.66171502,-0.037364813,0.133778613,0.274162608,0.274807963,0,0.549852781
ENSG00000163131.10,0.354078933,-0.017249144,0.077157759,0.274239181,0.275261122,0,0.550290159
ENSG00000143437.20,0.114723418,-0.002349212,0.651375725,0.906658714,0.906658671,1,0.768199819
ENSG00000143379.12,-0.591822227,0.065637627,0.695392551,0.576808542,0.576408903,1,0.696822971
ENSG00000143418.19,0.321044602,-0.019408864,0.022814475,0.080056786,0.084078311,0,0.350124572
ENSG00000143409.15,-0.085289969,0.012680319,0.677790999,0.437007413,0.438208395,0,0.647993399
ENSG00000069424.14,0.033866857,-0.008747689,0.814483556,0.439762402,0.439756574,0,0.648336344
ENSG00000213190.3,0.514200356,-0.025649813,0.078903091,0.266887791,0.270797718,0,0.547737006
ENSG00000163154.5,-0.992960029,0.053062912,0.244773527,0.432624002,0.434302639,0,0.64629152
ENSG00000159352.15,-0.021333313,-0.00259982,0.881345048,0.817284581,0.817374135,0,0.748691416
ENSG00000143416.20,-0.003570163,-0.015688631,0.995647329,0.754251949,0.754880318,0,0.737130991
ENSG00000159377.10,-0.024976998,0.005465298,0.801617199,0.483824145,0.483827682,0,0.663117752
ENSG00000143442.21,-0.200891516,0.029018105,0.575735773,0.295947857,0.296533181,0,0.562384782
ENSG00000143376.12,-0.071844748,0.002839904,0.500040451,0.736186302,0.73644451,0,0.731858435
ENSG00000182134.15,-1.412627648,0.087823319,0.017619693,0.045974217,0.045653742,1,0.256115331
ENSG00000159445.12,-0.235770765,-0.014414623,0.576842524,0.658092982,0.6600905,0,0.7194036
ENSG00000158286.12,-0.715591392,0.109535715,0.865361674,0.724145127,0.724815144,0,0.731002706
ENSG00000163209.14,0.66346767,-0.022202708,0.522065639,0.784500721,0.786101741,0,0.743480344
ENSG00000163220.10,-1.066660523,0.060454262,0.31179853,0.464702488,0.475767204,0,0.660851715
ENSG00000163221.8,-0.852716657,0.026347468,0.018281181,0.357362243,0.361003952,0,0.605991201
ENSG00000143546.9,0.481973013,-0.023520203,0.034696131,0.199510908,0.200473378,0,0.495797532
ENSG00000116237.15,-0.096301521,0.043938192,0.883936953,0.383961509,0.386613006,0,0.621592372
