nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000104324.15,0.152002705,-4.745616683,0.013166258,-0.015332885,-0.003070576,0.622123554,1.23E-123,0.505022867,0.358146195,0.883334993,0.883628811,0,0.820387116
ENSG00000147649.9,0.114862602,-7.151569331,-0.004726916,0.010530262,-0.003905013,0.646012684,3.36E-08,0.750277776,0.373774131,0.816960675,0.817261138,0,0.810521165
ENSG00000104341.16,0.607843925,-3.548267368,0.034720392,0.022983934,-0.015152186,0.580305491,3.87E-14,0.762812067,0.896944078,0.837768629,0.838187549,0,0.814119804
ENSG00000156482.10,-0.13890163,-6.094614306,0.015085926,0.036438914,0.001820621,0.747915789,8.61E-15,0.493591904,0.449221831,0.949983323,0.950024557,0,0.831830949
ENSG00000245970.2,-0.081683772,NA,-0.009010104,0.015886679,0.011467917,0.929893559,NA,0.860324823,0.76990107,0.849740244,0.849743868,1,0.814870106
ENSG00000132541.10,-0.487952199,NA,-1.179725605,-0.241508521,0.057483808,0.824370747,NA,0.56298902,0.54968368,0.67168735,0.671490241,1,0.772299856
ENSG00000269918.1,-0.884810596,NA,0.131747363,0.112586398,0.084451697,0.550841973,NA,0.040429903,0.518338215,0.380116759,0.380180593,1,0.679874701
ENSG00000104361.9,0.809908491,-0.005739449,0.157608976,-0.705527366,0.014952395,0.811605525,0.982022981,0.347354715,0.299995635,0.947046522,0.950988292,0,0.831830949
ENSG00000104375.15,0.896919634,NA,-0.027837285,-0.131659706,-0.071621513,0.546683523,NA,0.82225204,0.505067601,0.496148278,0.495741676,1,0.725589611
ENSG00000132549.18,-0.732420215,NA,0.045178046,0.004820716,0.053382763,0.171845604,NA,0.147024909,0.840060961,0.137667055,0.13752616,1,0.487825871
ENSG00000164919.10,-0.300628819,-5.76709828,0.018929602,-0.035849703,0.014487622,0.425651165,6.81E-21,0.586645577,0.050971577,0.564451327,0.564964478,0,0.746757423
ENSG00000104450.12,-3.010705099,-4.336577522,0.008030123,-0.264192802,0.170191761,0.000139746,8.35E-11,0.894116585,0.02171124,0.001352858,0.001593164,0,0.041945725
ENSG00000255310.2,-1.884863017,NA,0.093902375,0.853602564,0.148541792,0.389639604,NA,0.386540782,0.382377837,0.314661182,0.313405149,1,0.640643766
ENSG00000070756.15,-3.787483841,-1.950144772,0.328662678,-2.02734625,0.25022538,0.201872598,2.13E-10,0.049180229,0.151147767,0.201197565,0.203685586,0,0.56292782
ENSG00000164924.17,-0.024712166,-6.518794883,0.011860321,0.017897185,0.007765797,0.903405166,7.83E-78,0.310350323,0.564737152,0.575714057,0.578109018,0,0.751095801
ENSG00000261087.1,-1.222744155,NA,0.004055745,-0.305468985,0.064808569,0.421375681,NA,0.967032417,0.71331093,0.516243694,0.515766637,1,0.731915437
ENSG00000120963.11,1.037444182,NA,0.196665646,-0.710093207,-0.079677499,0.427091428,NA,0.015316648,0.402834088,0.38281543,0.382579999,1,0.680331033
ENSG00000104490.17,-1.514331721,-5.133747728,0.123482277,-0.074295415,0.08089825,0.089489258,5.58E-08,0.016387453,0.58669409,0.161754448,0.169938767,0,0.528072646
ENSG00000048392.11,0.48361105,-7.156124394,-0.027862792,-0.020320593,-0.026311274,0.126487222,2.42E-06,0.254498351,0.696719819,0.220240048,0.221927272,0,0.573543162
ENSG00000246263.2,0.156950157,-5.340469405,-0.009878293,0.015230599,-0.030997187,0.674989024,6.40E-25,0.69634031,0.614412097,0.23183572,0.241277878,0,0.591679258
ENSG00000253328.2,-0.50183901,-3.112462921,0.069101415,-0.025744621,0.00290939,0.855904496,9.48E-06,0.70717991,0.917399539,0.987840263,0.987802178,0,0.836685328
ENSG00000104517.12,-1.022290301,-7.846666663,0.044297602,-0.046207443,0.060494248,0.006410092,0.115443394,0.245810209,0.325674833,0.016453664,0.01671541,0,0.188225911
ENSG00000104643.9,0.541968978,NA,-0.09162629,0.039645433,-0.049214203,0.462266037,NA,0.073820661,0.201923358,0.322957713,0.322860181,1,0.646189247
ENSG00000272037.1,-1.280654383,NA,0.191604802,-0.167238698,0.084094607,0.516827526,NA,0.306114152,0.335279754,0.527552528,0.527232986,1,0.737601793
ENSG00000155090.14,0.564149721,NA,0.060430146,0.019975177,-0.024940592,0.182004228,NA,0.090163354,0.915454171,0.388806159,0.388780359,1,0.682923614
ENSG00000155096.13,0.514461534,-6.218324071,-0.003284066,-0.024592779,-0.027736064,0.001387895,1.14E-86,0.799878279,0.120939105,0.010562904,0.011981811,0,0.155504066
ENSG00000155097.11,6.89618936,-3.14008572,-0.045724937,0.118493269,-0.40044411,9.33E-22,7.83E-95,0.412922551,0.24767913,1.30E-16,8.65E-14,0,8.32E-11
ENSG00000164933.11,1.720785385,-4.569465597,0.031174236,-0.181369503,-0.13415316,0.091831192,1.59E-06,0.764221762,0.131985187,0.051333738,0.059265272,0,0.347523211
ENSG00000164934.13,3.46351878,NA,-0.001109493,0.004479774,-0.210904242,0.011500117,NA,0.983741264,0.942288974,0.022333279,0.021540597,1,0.213675599
