nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000266338.6,0.674391831,0.003736141,0.023264632,0.958724795,0.958406688,0,0.869920173
ENSG00000272419.6,0.263469386,-0.242780429,0.792915231,0.373599279,0.36439575,0,0.763787172
ENSG00000227372.11,0.005030268,-0.017315333,0.9648582,0.535902737,0.535906386,1,0.81344685
ENSG00000265491.4,-0.070832294,0.030295975,0.425921111,0.172696916,0.177466037,0,0.669178484
ENSG00000186141.8,0.244959487,0.008881932,0.852186144,0.977391521,0.977168532,0,0.872033507
ENSG00000131788.15,0.939288477,-0.211391796,0.000203096,0.000657951,0.003535752,0,0.188951127
ENSG00000265241.6,-0.06167086,0.04411707,0.684350501,0.24569715,0.245695778,1,0.714392576
ENSG00000235169.7,0.424027408,-0.360781609,0.320557893,0.000791684,0.001265999,0,0.119823412
ENSG00000271601.3,0.043615968,8.73E-05,0.800759796,0.998450195,0.998248076,0,0.875614809
ENSG00000265972.5,0.104433458,-0.005089102,1.87E-05,0.393851941,0.394789811,0,0.772405049
ENSG00000264343.5,-0.047747924,-0.060807401,0.894548554,0.493795509,0.493054888,0,0.804833607
ENSG00000268043.7,-0.097626925,0.076363001,0.504148654,0.031585394,0.03441395,0,0.446514762
ENSG00000131791.7,0.248091481,-0.025407865,0.010015854,0.285107896,0.285061352,0,0.738576917
ENSG00000130764.9,-0.107503695,-0.003285943,0.110461543,0.843901788,0.844918065,0,0.860424565
ENSG00000131778.18,0.211847126,0.005988977,0.013540856,0.769321409,0.769470655,0,0.853160075
ENSG00000116128.10,0.895580785,-0.201542586,0.000779723,0.003025719,0.004591938,0,0.214701918
ENSG00000162836.11,-0.404028233,0.077801819,0.000150107,0.002478323,0.00272515,0,0.175222955
ENSG00000263956.6,-0.175310333,0.092434503,0.686050521,0.36989215,0.364530089,0,0.763787172
ENSG00000274020.2,-0.181632322,0.01847873,0.141310581,0.544078233,0.547469715,0,0.81738574
ENSG00000231551.8,-0.437529063,0.043648062,0.102401116,0.512068711,0.512737636,0,0.810058276
ENSG00000225871.2,0.663196773,-0.113316332,0.057703932,0.20410721,0.202615638,1,0.691952556
ENSG00000280649.2,-1.344002315,0.327588977,0.032930846,0.04959478,0.066048367,0,0.541847124
ENSG00000270629.5,-0.470644731,0.279944834,0.68367807,0.384348668,0.38348,0,0.770328827
ENSG00000178104.19,0.612723018,-0.08783596,0.249613406,0.499751175,0.5024104,0,0.808223339
ENSG00000269713.7,0.788464847,-0.012852049,0.135232297,0.92300512,0.922588339,0,0.867362506
