id,int,sex,cond,sex_cond,p_int,p_sex,p_cond,p_sex_cond
ENSG00000164808.16,2.59406519639934,0.935936138702606,-0.978223670335519,-0.281389224962542,0.0798186052512967,0.513104639901435,0.0319508390827415,0.514703176550223
ENSG00000104738.16,0.885066143076102,1.43900081370837,-0.45798138586508,-0.440913174701122,0.681044992114381,0.505611578292657,0.483730420596423,0.499957500285169
ENSG00000155189.11,-0.255693069876216,-0.188275234794065,-0.117378032897028,0.0536112368953034,0.779439231923109,0.836601802663655,0.671074957501758,0.846109001594286
ENSG00000169139.11,2.25051716161718,-0.365525989046577,-0.886718516612652,0.12001374253722,0.233504501887408,0.84370880349624,0.125066056127706,0.830381891185151
ENSG00000147481.14,-22.1418223606607,6.4588263776261,6.36177698479706,-1.85893468205613,0.0112312873523221,0.415644827426405,0.0152039662085519,0.438712086852716
ENSG00000168300.13,1.13847261677622,1.08377977553092,-0.580384837166174,-0.328186664245619,0.356336334033659,0.379582964012376,0.123519553319073,0.377111805670732
ENSG00000147488.11,0.52538909598724,0.201958696424615,-0.361890566360234,-0.0690513460028119,0.618444564084567,0.848008305788978,0.25942603184947,0.82856196559014
ENSG00000164825.3,1.91121297358001,-1.9556235698733,-1.03310666130704,0.567868292606569,0.866827550861994,0.86376511129502,0.76357498431629,0.868580417701787
ENSG00000023287.12,0.445141281807837,0.129310878131075,-0.342412942808686,-0.0392938893621009,0.557811108062097,0.864586270945245,0.141519399785266,0.864525051033414
ENSG00000082556.10,-13.2916400908204,7.21722315558163,3.58226593801387,-2.15310347013821,0.0100545407727745,0.148401483503596,0.0202493794210329,0.152658374467102
ENSG00000047249.17,-2.39949008503417,1.2318641728344,0.526460226821583,-0.370814846846435,0.0538875981650415,0.28457772308033,0.141583249640192,0.285738875756013
ENSG00000147509.13,-1.62548324405354,1.86298852376474,0.281870919492805,-0.577836194776886,0.633120567422332,0.584629662446066,0.784178254817463,0.575547370420146
ENSG00000187735.13,0.487469491327492,6.33673468264032,-0.367996676016582,-1.93717578116309,0.911006840357535,0.16363117795541,0.781137528252573,0.160532659261784
ENSG00000120992.17,-1.94956588213393,4.35144379797292,0.345389318252132,-1.29609416928006,0.366328645878923,0.0650535822584771,0.585490835969854,0.0655680278624796
ENSG00000206579.8,-2.49718011625758,0.505308137426867,0.563227493548128,-0.150507776019331,0.0929274858877426,0.730341356594447,0.206324098443466,0.733676140745475
ENSG00000167904.14,0.934919186292431,2.4924362976915,-0.502218486523331,-0.755849870239274,0.616527327179922,0.186620611181521,0.375182780149507,0.185077208184461
ENSG00000137574.10,3.79015728583636,3.96182639936772,-1.37821112378693,-1.20226983385431,0.167040637184053,0.149893788693223,0.10400991234235,0.151573240084191
ENSG00000254087.7,-4.11045358482013,0.35212068363213,1.00043003832847,-0.0920912091818275,0.130559579798241,0.895913368333184,0.222697769403076,0.91004522573154
ENSG00000008988.9,-0.507883778249285,0.281947142899477,-0.0749749800891632,-0.0878954075342893,0.171566611965165,0.445175383086786,0.503410646809943,0.433131045939179
ENSG00000238650.1,-6.664660739291,0.252423967093772,1.75866834515293,-0.0863800843875594,0.0698324560474327,0.943647841794352,0.110285015406138,0.936068131445432
ENSG00000181690.7,-4.35590633767591,-1.5086252258415,1.12941144159575,0.471053411912251,0.183659366583185,0.638538552641363,0.251495619093683,0.627709176453041
ENSG00000215374.5,-3.92552413712998,-4.94913963517007,1.06315958838188,1.47952029003882,0.0968536080305953,0.0384060708394935,0.136050164427561,0.0407935864784593
ENSG00000181195.10,6.16913463045351,6.85849581071195,-2.06081215870172,-2.17338618156306,0.5722980328638,0.530647192018226,0.542861367528948,0.521322809988201
ENSG00000104331.8,-0.504757106964926,-0.438847590262653,-0.0432050630425632,0.132084887305968,0.378489320340071,0.443358418494334,0.80291780831754,0.446852883871327
ENSG00000169122.11,-1.67783709097622,2.73546455298587,0.276860833238634,-0.818106023674648,0.581125322636374,0.373902634499494,0.76135034153358,0.377286618954621
ENSG00000215114.8,0.66235939828652,0.412681692767953,-0.393219550083485,-0.126294549221716,0.310220085809398,0.52635531880324,0.0488572256464574,0.522100144413613
ENSG00000035681.7,-0.564320806657574,0.311331831112997,-0.0289607300947689,-0.0931343606694883,0.279435308172881,0.549672680376476,0.854234734619876,0.555040222952155
ENSG00000178538.9,-0.769421211965793,-0.11531302616705,0.0617584959333384,0.0359022433353468,0.483388033491199,0.916098290840463,0.851661872436804,0.913421541112344
ENSG00000104388.14,-0.234525341393375,-0.341067215927076,-0.147091704288276,0.102963695611443,0.510950808337364,0.339876312255494,0.175129120181923,0.341000568378513
ENSG00000228862.3,-3.15582418479407,-0.396936364963827,0.805486443248334,0.128119830646459,0.183122602098581,0.864917694033859,0.259213775319885,0.855979570400273
ENSG00000254869.1,-8.99110284836453,-13.6180912418295,2.55819392320537,4.14127349883843,0.667567699983623,0.519057872579776,0.687127872351043,0.518479450487203
ENSG00000171316.11,-0.821992265949897,1.36252139970195,0.048484019703272,-0.411811344638827,0.23366832679719,0.0516634122155228,0.815826954437732,0.0530369514793678
ENSG00000254777.5,-2.17536397338765,-1.5626644639332,0.425524186356821,0.46623481569257,0.588131309288565,0.696848315789512,0.724309512218487,0.699236544949148
ENSG00000177182.10,-5.61339018142875,-6.25642122428544,1.48880209623297,1.86396815607757,0.613192382761049,0.574024673716196,0.657742369590978,0.58068946060006
ENSG00000198363.17,-0.849801645674277,0.316723004352876,0.0680528818894532,-0.0961791349457373,0.103758982345988,0.540975733406234,0.66544571583517,0.541390174706142
ENSG00000137563.11,-1.45526063341894,0.37424600481664,0.190525914634927,-0.114400761817724,0.173981953217397,0.724644090136727,0.553541360003163,0.721774086754575
ENSG00000137561.4,-1.24947986009243,1.18493125569056,0.149714062766244,-0.35684198018569,0.847340839507529,0.855117454978268,0.93934083867839,0.856215299794304
ENSG00000185728.16,-0.670893060481404,-0.797064036857877,-0.0194420464003662,0.248510922340566,0.642987882210437,0.582081314760474,0.965001755619077,0.575757889714879
ENSG00000173295.7,-1.67398782142939,-1.45981590047548,0.387265024947564,0.436394208048425,0.155241005282665,0.214459699075572,0.275602952194308,0.219721898617636
ENSG00000254377.5,-1.57331824501597,1.10242655509964,0.29804849534735,-0.333205035048697,0.11713611333865,0.265403778908591,0.314699423073033,0.26237804919823
