ID	ttlCount	PC1	PC2	PC3	PC4
NA18858	7.31610149517419	0.012077207356004	-0.0356156530552034	0.0431924067705466	-0.101219482810621
HG00187	7.38931480032761	0.0178354597178796	0.0979809949005926	-0.105514049891587	0.0112626939813835
NA20521	7.20439198295364	-0.0401138324766376	0.00907403113742271	-0.0291947657329274	-0.055765365599888
NA12399	6.92894339402345	0.01199587004332	-0.0903432582040116	-0.0891855437771106	0.000283045128312165
NA19248	7.34870389951841	0.00167527088104303	-0.044608718206637	0.0645785128597192	-0.0430734746839138
NA18519	7.19732437140325	0.100579161317645	-0.0135296630658451	-0.0411350711674476	-0.0531387821178174
NA11920	7.3661599660079	0.125729480905189	0.0103244440147546	0.0534535368628018	-0.00186936564169654
HG00179	7.21834065917078	-0.00500156953252173	0.0622175925550898	-0.0207879618189814	-0.0386965711602574
NA20508	7.32035988983432	-0.0274349957501331	-0.032025237518469	-0.0269373996704478	-0.027447217403871
NA12155	7.22002763145947	0.0158812871502806	-0.111231105502932	0.0502070164132131	-0.0366941940044833
NA06984	7.13384864784341	0.0777444023018966	-0.0238115823830899	-0.112566773665633	0.0146456399294483
HG00339	7.26713064454938	-0.0350791976487097	0.0375051637944582	0.00948466925264643	0.0277512487224926
HG00341	7.32389648213916	0.105612595081855	0.0464556694787861	0.0893592520155723	-0.0805624071672174
NA18912	7.48909052759098	0.0247025517037367	-0.0200671820378326	0.037550073102837	-0.0706417604852912
NA12874	7.30152984143336	0.0680575933628753	-0.0900837016946024	-0.0156191120333027	0.00798793789956706
NA20815	7.37209699176329	-0.0732934244095071	-0.039338405412674	0.0837473170196615	-0.0490622357477013
NA18868	7.34519134740682	0.150406200910911	-0.0456976922867402	0.0331844865680801	0.0780877633035445
HG00272	7.31088809592143	-0.00059217794374617	0.12283611166219	-0.0114703831848054	-0.0326300894701311
NA12750	7.29111010617504	0.0348745936037183	-0.0440380337462316	0.0141097662201084	0.0608736785690376
NA12043	7.35240244704696	-0.0161290091341516	-0.103074563199409	0.097995822455363	-0.0315796909560481
HG00344	7.26835175693423	0.0134489529445788	0.0829570877631508	-0.0572067616174369	0.0839555110015529
NA12383	7.25117104795748	0.113269648750741	-0.0210202388024765	-0.0807553931332554	0.00731311056822195
NA20798	7.17321693026912	-0.0666058085697322	0.00106765504404407	-0.06341917835612	-0.0400644015622305
NA19175	7.31412158761541	0.0348505188077036	-0.0371334998054885	0.00914154024721134	-0.0547176481010843
NA12775	7.51022822163702	0.123372886063032	0.0720660988964761	-0.00725474130609705	-0.083062980611866
