nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000266338.6,0.554426155,-0.015157391,0.193733272,0.883680014,0.882936399,0,0.879348067
ENSG00000272419.6,0.263469386,-0.242780429,0.792915231,0.373599279,0.36439575,0,0.797901052
ENSG00000227372.11,0.079992092,0.040391389,0.855631037,0.711107297,0.711419807,0,0.863313009
ENSG00000265491.4,0.232872915,-0.057602363,0.026494192,0.029111527,0.029787164,0,0.459278563
ENSG00000131788.15,0.406543281,-0.083187878,0.052140273,0.119589958,0.119158765,1,0.640720157
ENSG00000265241.6,0.134104169,-0.053949589,0.4388039,0.194728167,0.20018425,0,0.713151947
ENSG00000235169.7,0.088705742,-0.28732728,0.802230253,0.001344047,0.001902597,0,0.161727987
ENSG00000265972.5,0.104433458,-0.005089102,1.87E-05,0.393851941,0.394789811,0,0.807879174
ENSG00000264343.5,-0.047747924,-0.060807401,0.894548554,0.493795509,0.493054888,0,0.832569919
ENSG00000268043.7,0.083240493,0.022906568,0.660390354,0.622314862,0.622653163,0,0.853197094
ENSG00000131791.7,0.262892805,-0.029266571,0.00623858,0.216178831,0.21617299,0,0.725303707
ENSG00000130764.9,-0.107503695,-0.003285943,0.110461543,0.843901788,0.844918065,0,0.875621727
ENSG00000131778.18,0.211847126,0.005988977,0.013540856,0.769321409,0.769470655,0,0.871095949
ENSG00000116128.10,-0.15780762,0.049348349,0.517394122,0.42534188,0.42643714,0,0.81812978
ENSG00000162836.11,0.241686346,-0.051518537,0.035812043,0.059434076,0.062051458,0,0.548445071
ENSG00000263956.6,0.233004917,0.049009537,0.327684577,0.382809381,0.382919598,0,0.804298926
ENSG00000274020.2,-0.193176658,0.02162259,0.13357976,0.495409945,0.499026504,0,0.833946135
ENSG00000231551.8,0.299353955,-0.004718249,0.308521592,0.947456193,0.947447801,0,0.882819881
ENSG00000225871.2,0.663196773,-0.113316332,0.057703932,0.20410721,0.202615638,1,0.715319498
ENSG00000270629.5,-0.470644731,0.279944834,0.68367807,0.384348668,0.38348,0,0.804590806
ENSG00000178104.19,0.106847242,-0.033380897,0.493300785,0.431775413,0.431709438,1,0.819394674
ENSG00000269713.7,0.29948863,0.028347172,0.67741263,0.874835098,0.876701093,0,0.879348067
ENSG00000274265.4,0.661422962,-0.098937084,0.253555356,0.486458205,0.487565897,0,0.831174634
ENSG00000271383.6,0.035746547,0.05730268,0.893504776,0.413080133,0.413419636,0,0.813304282
ENSG00000116198.12,-0.347074014,0.013320377,4.15E-05,0.517319056,0.517511831,0,0.835559747
ENSG00000150337.13,-1.32263574,0.205592303,0.105637186,0.29442002,0.299382834,0,0.767534308
ENSG00000203814.6,-0.097218327,0.097621158,0.637690758,0.048319906,0.050566042,0,0.522139408
ENSG00000261716.1,0.695528678,-0.101249233,0.002388454,0.072831269,0.075081032,0,0.578368835
ENSG00000169598.15,0.263982528,-0.036086841,0.091104016,0.35492376,0.354744266,1,0.79400976
ENSG00000178096.8,0.158705138,0.025478087,0.670681385,0.784914397,0.78635512,0,0.872644925
ENSG00000143368.9,0.052117826,0.024509176,0.773661987,0.595659724,0.595892727,0,0.84732637
ENSG00000198912.10,-0.232581984,-0.013107259,0.027484033,0.602068057,0.602320096,0,0.84732637
ENSG00000023902.13,-0.059504237,0.019907526,0.784059368,0.693300429,0.693944338,0,0.86256459
ENSG00000143401.14,-0.092637429,0.03167458,0.45329594,0.287956599,0.287894703,1,0.765795139
ENSG00000117362.12,0.051600134,0.007001154,0.550526765,0.739406713,0.73961924,0,0.867467514
ENSG00000266472.5,-0.211225487,0.007790584,0.003973895,0.664823422,0.665416606,0,0.858572801
ENSG00000117360.12,-0.035151569,0.03409974,0.736160334,0.181377933,0.18219223,0,0.702692782
ENSG00000163125.15,0.164343363,-0.007210429,0.035896444,0.712443274,0.712427413,1,0.863330991
ENSG00000143374.16,-0.208612843,0.007982536,0.250521838,0.855087927,0.85493594,0,0.876696346
ENSG00000143369.14,-0.669856329,0.085674786,0.213369582,0.516990922,0.515827199,0,0.835559747
ENSG00000237781.3,0.063587048,-0.0753608,0.743783517,0.129053649,0.136541247,0,0.662507117
ENSG00000143382.14,0.303462141,0.012471053,0.209922258,0.840754902,0.841235576,0,0.874786652
ENSG00000203804.4,-0.115374905,0.142809863,0.628532043,0.0248154,0.025404771,0,0.431150672
ENSG00000143384.12,0.068534157,0.020568187,0.031460332,0.010506788,0.011680444,0,0.332323857
ENSG00000143420.18,-0.010254755,0.025711297,0.906309242,0.228910483,0.231366008,0,0.737892048
ENSG00000143457.10,-0.199096756,0.004048523,0.143827013,0.909296474,0.909322411,0,0.879348067
ENSG00000131697.17,0.310314255,-0.032017816,0.031261506,0.354048604,0.353615059,0,0.79337915
ENSG00000163131.10,0.079509474,0.013588285,0.268883867,0.424651703,0.424866866,0,0.817664482
ENSG00000143437.20,0.030554217,0.014245311,0.666374877,0.424366786,0.424371989,1,0.817423158
ENSG00000143379.12,-0.027498139,0.079130449,0.930934059,0.359665633,0.359673345,1,0.797901052
ENSG00000143418.19,0.104227435,-0.007318169,0.025479847,0.517180773,0.523745905,0,0.836245557
ENSG00000143409.15,0.072076784,0.000461641,0.229871502,0.975874143,0.975858229,0,0.886098465
ENSG00000143363.15,0.236226246,-0.025405303,0.068456553,0.422973342,0.422830055,1,0.816819848
ENSG00000163141.18,-0.013071678,0.116202594,0.968593102,0.182383324,0.182732815,0,0.702692782
ENSG00000069424.14,-0.050480175,-0.006624939,0.298726313,0.570181412,0.570336256,0,0.841067596
ENSG00000197622.12,0.151244807,-0.018861588,0.096656855,0.403437107,0.41406978,0,0.81344733
ENSG00000213190.3,0.241488705,-0.013122781,0.007911413,0.56070463,0.572745526,0,0.841693337
ENSG00000143458.11,-0.467552006,0.05828652,0.216311004,0.51805765,0.517705235,1,0.835559747
ENSG00000143434.15,-0.066983766,-0.013688075,0.700428099,0.747320185,0.754039453,0,0.86859299
ENSG00000163154.5,-0.556309364,0.062621354,0.079878577,0.452274382,0.458784699,0,0.824433069
ENSG00000143398.19,-0.316423038,0.071944586,0.037598689,0.059943314,0.059697072,1,0.541340528
ENSG00000159352.15,0.008589589,-0.016289256,0.839535005,0.124127817,0.125692965,0,0.647707758
ENSG00000232671.5,-0.316104474,0.001663491,0.477287942,0.988875317,0.988875132,1,0.888319116
ENSG00000143373.17,0.056218277,0.000523914,0.434924865,0.977546679,0.97756997,0,0.886472699
ENSG00000143393.16,-0.139540457,0.024696135,0.176409724,0.324631147,0.326166939,0,0.778487378
ENSG00000143390.17,0.049796101,0.003362116,0.65631227,0.901296876,0.901297862,1,0.879348067
ENSG00000143416.20,0.008022523,-0.054812822,0.964203993,0.212703106,0.2150889,0,0.725303707
ENSG00000159377.10,0.018162271,0.006811897,0.592258335,0.425135367,0.425694791,0,0.817820674
ENSG00000143442.21,-0.068187219,0.062512164,0.559388515,0.032681014,0.034012641,0,0.473946294
ENSG00000143367.15,0.005231446,0.025742603,0.979936819,0.622546183,0.622555985,1,0.853197094
ENSG00000116251.9,0.326475361,-0.04962325,0.0650284,0.284335696,0.283996593,1,0.762002618
