nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000277149.4,-0.52253754,0.015843514,0.236255781,0.638495231,0.639561422,0,0.705675239
ENSG00000106133.17,-1.493506877,0.123049145,0.478598134,0.441066528,0.442258247,0,0.638996925
ENSG00000106009.15,0.11531746,-0.001600604,0.793069283,0.961890699,0.961902809,0,0.774245737
ENSG00000106077.18,-1.15673882,0.078360969,0.060324147,0.093217008,0.092951179,1,0.349455886
ENSG00000086730.16,-1.736910724,0.099614929,1.40E-05,0.001415115,0.001591998,0,0.027938324
ENSG00000049541.10,0.080516423,-0.001944265,0.950779267,0.984374727,0.984374758,1,0.777148716
ENSG00000263001.5,1.213653668,-0.069561815,0.011704216,0.066877808,0.076306966,0,0.324461804
ENSG00000106012.17,0.294352434,-0.02907,0.505101858,0.39235584,0.396566687,0,0.619752741
ENSG00000277072.4,1.997504852,-0.130974527,0.108931845,0.183023019,0.190917652,0,0.474585907
ENSG00000123965.13,1.048853929,-0.060523757,0.734676108,0.803154361,0.80134835,0,0.73884601
ENSG00000205583.13,0.754165167,-0.044814601,0.021579222,0.075770784,0.076476096,0,0.324461804
ENSG00000127957.17,-0.197393962,0.01046858,0.195720577,0.375256423,0.375642808,0,0.605613196
ENSG00000127946.16,-0.364581526,0.059222822,0.575819258,0.232174168,0.234499427,0,0.507639616
ENSG00000127948.15,-0.246352885,0.017375989,0.792974684,0.80848309,0.80837086,0,0.739512328
ENSG00000189077.10,0.988356875,-0.054513493,0.021790063,0.106367651,0.10681131,0,0.370311393
ENSG00000127952.16,3.656049637,-0.311119954,0.102841884,0.083951658,0.092758716,0,0.349455886
ENSG00000146535.13,0.185909156,-0.005824896,0.139297991,0.560895828,0.561043494,0,0.68118618
ENSG00000146701.11,-0.141121607,0.022744012,0.453068812,0.127522673,0.128351773,0,0.400240222
ENSG00000188372.14,0.301074008,-0.017220917,0.03596499,0.121811678,0.121806017,0,0.393629086
ENSG00000091073.19,-0.020199741,0.016698821,0.981745914,0.807241025,0.806910407,0,0.739418033
ENSG00000243566.6,0.287516126,-0.014408233,0.374111253,0.564258445,0.564255415,1,0.682385527
ENSG00000146707.14,1.707094357,-0.14392693,0.145181428,0.112403601,0.112657332,0,0.380070408
ENSG00000198286.9,0.703706399,-0.038752077,1.21E-05,0.002233976,0.002383242,0,0.034801337
ENSG00000186704.9,-0.928177321,-0.089517137,0.443565118,0.360382368,0.364048832,0,0.599115253
ENSG00000233448.2,-0.042843431,-0.03173269,0.980441287,0.804752307,0.807360046,0,0.739429793
ENSG00000205482.9,2.270577775,-0.107040193,1.60E-05,0.008362062,0.009894621,0,0.095140918
ENSG00000146555.18,-0.268813529,0.009699186,0.269162031,0.608842838,0.60938473,0,0.695667137
ENSG00000135211.5,0.20526771,-0.004359005,0.278573405,0.770096296,0.770424604,0,0.731918087
ENSG00000135218.17,-0.875033884,0.067581572,0.146806938,0.143185909,0.167147166,0,0.447112978
ENSG00000019991.15,-0.691711575,0.066075282,0.362633954,0.250771706,0.25060123,1,0.520552917
ENSG00000105793.15,-0.166282476,0.026824092,0.839083066,0.673802272,0.677015436,0,0.72000588
ENSG00000223969.5,-0.222411732,0.022182483,0.147563429,0.067304495,0.068885731,0,0.309509299
ENSG00000157240.3,0.308740827,-0.00914153,0.515341781,0.80193838,0.801971635,0,0.73884601
ENSG00000177409.11,0.899360998,-0.088105401,0.51195647,0.416529488,0.413773538,0,0.627146581
ENSG00000196204.11,-0.588882978,0.071018908,0.743330056,0.597472759,0.604614591,0,0.694078892
ENSG00000127920.5,0.510880379,-0.01832112,0.369026305,0.683471044,0.682923843,0,0.720659615
ENSG00000105854.12,1.294777607,-0.087901611,0.117243305,0.166052592,0.165370549,1,0.445177682
ENSG00000196636.7,2.796744362,-0.189704305,1.61E-05,0.000136734,0.000120043,1,0.003819396
ENSG00000070669.16,0.362809203,-0.004096756,0.475452611,0.916448021,0.916847022,0,0.763195036
