nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000235169.7,0.088705742,-0.28732728,0.802230253,0.001344047,0.001902597,0,0.124080499
ENSG00000265972.5,0.104433458,-0.005089102,1.87E-05,0.393851941,0.394789811,0,0.743305616
ENSG00000264343.5,-0.047747924,-0.060807401,0.894548554,0.493795509,0.493054888,0,0.782479263
ENSG00000268043.7,0.083240493,0.022906568,0.660390354,0.622314862,0.622653163,0,0.80553437
ENSG00000131791.7,0.262892805,-0.029266571,0.00623858,0.216178831,0.21617299,0,0.652390227
ENSG00000130764.9,-0.107503695,-0.003285943,0.110461543,0.843901788,0.844918065,0,0.832989645
ENSG00000131778.18,0.211847126,0.005988977,0.013540856,0.769321409,0.769470655,0,0.823349584
ENSG00000263956.6,0.233004917,0.049009537,0.327684577,0.382809381,0.382919598,0,0.737037274
ENSG00000231551.8,0.299353955,-0.004718249,0.308521592,0.947456193,0.947447801,0,0.842726365
ENSG00000269713.7,0.29948863,0.028347172,0.67741263,0.874835098,0.876701093,0,0.839388699
ENSG00000274265.4,0.661422962,-0.098937084,0.253555356,0.486458205,0.487565897,0,0.780783255
ENSG00000116198.12,-0.347074014,0.013320377,4.15E-05,0.517319056,0.517511831,0,0.786811032
ENSG00000150337.13,-1.32263574,0.205592303,0.105637186,0.29442002,0.299382834,0,0.700135566
ENSG00000203814.6,-0.097218327,0.097621158,0.637690758,0.048319906,0.050566042,0,0.463391513
ENSG00000261716.1,0.695528678,-0.101249233,0.002388454,0.072831269,0.075081032,0,0.518069473
ENSG00000143368.9,0.052117826,0.024509176,0.773661987,0.595659724,0.595892727,0,0.799770752
ENSG00000198912.10,-0.232581984,-0.013107259,0.027484033,0.602068057,0.602320096,0,0.799770752
ENSG00000117362.12,0.051600134,0.007001154,0.550526765,0.739406713,0.73961924,0,0.817803958
ENSG00000266472.5,-0.211225487,0.007790584,0.003973895,0.664823422,0.665416606,0,0.81055881
ENSG00000117360.12,-0.035151569,0.03409974,0.736160334,0.181377933,0.18219223,0,0.632547337
ENSG00000163125.15,0.164343363,-0.007210429,0.035896444,0.712443274,0.712427413,1,0.813801094
ENSG00000143374.16,-0.208612843,0.007982536,0.250521838,0.855087927,0.85493594,0,0.83416916
ENSG00000143369.14,-0.669856329,0.085674786,0.213369582,0.516990922,0.515827199,0,0.786606856
ENSG00000237781.3,0.063587048,-0.0753608,0.743783517,0.129053649,0.136541247,0,0.598500799
ENSG00000143382.14,0.303462141,0.012471053,0.209922258,0.840754902,0.841235576,0,0.832431696
ENSG00000203804.4,-0.115374905,0.142809863,0.628532043,0.0248154,0.025404771,0,0.370289362
ENSG00000143384.12,0.068534157,0.020568187,0.031460332,0.010506788,0.011680444,0,0.286835164
ENSG00000143420.18,-0.010254755,0.025711297,0.906309242,0.228910483,0.231366008,0,0.666259697
ENSG00000143457.10,-0.199096756,0.004048523,0.143827013,0.909296474,0.909322411,0,0.8397812
ENSG00000131697.17,0.310314255,-0.032017816,0.031261506,0.354048604,0.353615059,0,0.725031192
