nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000123213.22,-0.435714838,0.015059717,0.580045714,0.803408083,0.806363033,0,0.768459928
ENSG00000049656.13,-0.120716765,0.014957999,0.799692409,0.690954617,0.693691885,0,0.740400276
ENSG00000112851.14,-0.128067656,0.007066338,0.698364478,0.786193266,0.786191736,1,0.764435255
ENSG00000153914.15,0.313847878,-0.022956451,0.717908537,0.7378669,0.740241422,0,0.753115851
ENSG00000134061.5,-1.261874333,0.126078401,0.193138225,0.089721137,0.132132674,0,0.439987001
ENSG00000145675.14,0.124455852,-0.002682788,0.633398877,0.894717258,0.895026684,0,0.785550017
ENSG00000145740.18,0.132655087,-0.007997258,0.811020402,0.853793165,0.854441804,0,0.779932618
ENSG00000134057.14,0.248231572,-0.00361894,0.831167072,0.967853088,0.968052063,0,0.800517616
ENSG00000134056.11,1.022393453,-0.078702064,0.198668732,0.199367577,0.261566227,0,0.564651916
ENSG00000134058.11,0.262585956,-0.02503361,0.547499419,0.468524985,0.470410305,0,0.671676961
ENSG00000183323.12,0.626611951,-0.037612047,0.092652354,0.20306504,0.203941916,0,0.521150098
ENSG00000250138.4,-0.941130525,0.091973041,0.467131213,0.37238475,0.369741684,0,0.626160195
ENSG00000073578.16,0.692663878,-0.032437636,1.28E-06,0.003143562,0.00342297,0,0.058491435
ENSG00000153395.9,0.160309692,-0.005111611,0.246886287,0.636283916,0.636439604,0,0.724945046
ENSG00000249437.7,0.566863744,-0.017697393,0.470152102,0.780637076,0.782625662,0,0.763860872
ENSG00000145734.18,0.10848678,-0.005570097,0.824329277,0.88281039,0.882808656,1,0.783231708
ENSG00000131844.15,-0.296765157,0.01918003,0.404330095,0.4789168,0.488770542,0,0.67518531
ENSG00000185986.11,-5.446943171,0.395458419,8.19E-07,3.04E-06,8.52E-06,0,0.000552907
ENSG00000113048.16,0.754256228,-0.044339287,0.31723801,0.439368325,0.441916958,0,0.661230119
ENSG00000083312.17,0.245706267,-0.013952224,0.553637408,0.669044315,0.669111477,0,0.735839715
ENSG00000157107.13,0.175330635,0.009981794,0.466976217,0.60559104,0.605952097,0,0.716635452
ENSG00000145741.15,0.019461484,0.00474291,0.850384446,0.554698794,0.56193317,0,0.704319338
ENSG00000164331.9,0.804097707,-0.038280048,0.509802828,0.687789774,0.687854164,0,0.73956454
ENSG00000164338.9,1.047092901,-0.090166036,0.358021914,0.293925502,0.297719246,0,0.583453403
ENSG00000188002.10,-5.88589364,0.407997075,1.57E-13,3.07E-11,4.69E-10,0,1.45E-07
ENSG00000171617.13,-7.110109908,0.464061415,3.51E-05,0.000548369,0.000629525,0,0.017029633
ENSG00000049860.13,-0.092221293,0.009274075,0.845067804,0.802736686,0.802605822,0,0.768372471
ENSG00000164347.17,-1.918661171,0.153036419,0.003790043,0.003134627,0.003010766,1,0.053702407
ENSG00000164346.9,-0.372820425,0.011384541,0.100668294,0.520750436,0.520960383,0,0.687570408
ENSG00000113161.15,-0.376445568,0.042448942,0.565477333,0.411631998,0.411333382,0,0.647721348
ENSG00000113163.15,0.014686059,0.00487763,0.966758179,0.863052094,0.863050969,1,0.780429987
ENSG00000122008.15,0.385374043,-0.024813686,0.676516506,0.731505022,0.731469372,1,0.750759636
ENSG00000152359.14,-1.07610705,0.046402817,0.135027106,0.412328552,0.412041038,1,0.647852387
ENSG00000145703.15,0.144105126,-0.0152628,0.614981813,0.498303672,0.498857615,0,0.679362036
ENSG00000181104.6,-0.174155663,-3.93E-05,0.749467611,0.999243542,0.99941666,0,0.804173752
ENSG00000164251.4,2.991787127,-0.168629176,0.000765152,0.01686643,0.016867181,0,0.170078718
ENSG00000171643.13,0.403730326,-0.041852292,0.485719486,0.351243784,0.351649535,0,0.617148985
ENSG00000164252.12,0.501643375,-0.038156563,0.075844005,0.090985676,0.091697607,0,0.383646759
ENSG00000132846.5,1.265827464,-0.088047075,0.488640786,0.520171709,0.517962651,0,0.686278957
ENSG00000164253.13,0.015153284,0.019362539,0.95862024,0.401779303,0.40225515,0,0.642720442
ENSG00000171530.13,-2.070834742,0.113489349,0.000566303,0.01665136,0.018176582,0,0.175318291
ENSG00000213763.4,-1.824723321,0.150500461,0.46492625,0.436088692,0.440157979,0,0.660918094
ENSG00000132842.13,-0.135647797,0.024462536,0.706805142,0.393389024,0.394908552,0,0.639823743
ENSG00000245556.2,0.217192481,0.004364253,0.852791995,0.960679552,0.960680263,1,0.798386092
ENSG00000085365.17,0.109141985,0.008293372,0.850103182,0.853128108,0.853088529,0,0.779775059
ENSG00000145685.13,0.363618349,-0.037809627,0.409053146,0.278594337,0.279623727,0,0.573601394
ENSG00000113273.15,0.582248924,-0.035322905,0.152721767,0.267239373,0.267567206,0,0.568335847
ENSG00000152409.8,-0.337688932,0.017588881,0.44784271,0.599449243,0.599421443,1,0.716061062
ENSG00000164329.13,0.571958594,-0.03713649,0.090007151,0.162735687,0.162781984,0,0.47890291
ENSG00000164309.14,-0.485175314,0.069526638,0.7905961,0.623948914,0.627303179,0,0.722062342
ENSG00000177034.14,-0.859808598,0.064431151,0.372121391,0.381952421,0.382242038,0,0.632530308
ENSG00000164300.16,-0.138219254,0.001673433,0.583089952,0.93154853,0.931551698,0,0.792209893
ENSG00000133398.3,0.399951599,-0.03447116,0.125837111,0.088894246,0.089209449,0,0.37794649
ENSG00000039319.16,-0.273934664,0.022565251,0.600366936,0.591245128,0.593741178,0,0.715269144
ENSG00000249042.5,0.950758686,-0.103865805,0.405294044,0.258084254,0.27834724,0,0.573496953
ENSG00000152380.9,-0.658436138,0.08713533,0.633583365,0.428698992,0.427680864,0,0.655060532
ENSG00000228716.6,3.791954589,-0.192114907,5.29E-08,0.000411126,0.000387954,0,0.011735712
ENSG00000113318.9,-0.491259716,0.002660109,0.392901902,0.953483855,0.953633453,0,0.797878857
ENSG00000113319.12,1.330762755,-0.109044741,0.406067345,0.362819643,0.36257793,1,0.623489317
ENSG00000037474.14,0.281170639,0.010035319,0.356380251,0.67267658,0.673449082,0,0.736726865
ENSG00000131732.11,-0.328554928,0.034704866,0.606872203,0.47770719,0.477649,1,0.673039407
ENSG00000145687.16,0.766450871,-0.051999473,0.06688721,0.108181829,0.108036641,1,0.408007563
ENSG00000152348.15,-1.408955845,0.06112774,0.011217727,0.157117229,0.155885044,0,0.472197227
ENSG00000186468.12,1.249285935,-0.015660645,0.000695162,0.585535933,0.593874719,0,0.715269144
ENSG00000174695.9,0.005520676,0.00329183,0.974763427,0.812173832,0.812556498,0,0.769306979
ENSG00000152422.15,1.698673198,-0.140288368,0.264706682,0.245923908,0.244962148,1,0.553743623
ENSG00000038427.15,0.015919959,0.004059436,0.854616104,0.552667546,0.553293908,0,0.701037456
ENSG00000145545.11,-2.011174993,0.127942535,1.66E-06,0.00010467,0.000187672,0,0.006678702
ENSG00000134480.13,0.411623967,-0.027195136,0.113297035,0.181226191,0.181205546,0,0.496489266
ENSG00000164180.13,-1.170099372,0.100210521,0.413612076,0.351004019,0.354545531,0,0.618963553
ENSG00000247828.7,-1.137922356,0.047275906,0.142702242,0.42633505,0.42604766,1,0.653820844
ENSG00000081189.15,0.170907087,0.005297811,0.905587503,0.961312193,0.961283711,0,0.798386092
ENSG00000112941.13,-0.482766333,0.02911948,0.264512097,0.3817233,0.392007229,0,0.637993597
ENSG00000248323.5,-0.528454314,0.041909204,0.591328314,0.588317815,0.598584816,0,0.715885111
ENSG00000113369.8,-0.090834725,0.018650019,0.894143516,0.722516849,0.722519845,1,0.747799982
ENSG00000113391.18,1.341556327,-0.118490037,0.080107614,0.05983519,0.059153379,1,0.317163725
ENSG00000185261.14,0.8765724,-0.07663549,0.412719896,0.374826979,0.386719943,0,0.634429637
ENSG00000249915.7,0.039423041,0.005013449,0.873326399,0.802188504,0.802199139,0,0.768196749
ENSG00000124275.14,1.742117435,-0.116321368,3.72E-08,3.00E-06,9.19E-06,0,0.000575311
ENSG00000133302.12,1.035240086,-0.102218011,0.569188223,0.468451888,0.468114659,1,0.671418762
ENSG00000175471.19,-0.612765753,0.038307116,0.192383116,0.293644681,0.293895596,0,0.582461571
ENSG00000198677.10,-0.968802656,0.053403269,0.001111104,0.020539789,0.020429341,0,0.185600149
ENSG00000164292.12,3.348952679,-0.242412403,0.015520176,0.021593897,0.02063761,1,0.186512206
ENSG00000173221.13,-0.440602785,0.022170214,0.004406474,0.072903797,0.078081965,0,0.360506176
ENSG00000124279.11,0.547545968,-0.020705743,0.51846731,0.758379416,0.758376647,1,0.757367625
ENSG00000251000.1,-2.361032639,0.099954584,8.59E-05,0.039952729,0.039079746,1,0.257054165
ENSG00000236882.7,3.928301811,-0.338789548,0.329833406,0.286096909,0.296953317,0,0.583003475
ENSG00000118985.15,-0.456285475,0.017221232,0.376350153,0.668882051,0.678717789,0,0.737663908
ENSG00000153113.23,-0.781878895,0.028605963,0.053648963,0.367996612,0.367693028,0,0.625264125
ENSG00000164307.12,0.876500681,-0.026840977,0.004130598,0.258100729,0.261488317,0,0.564651916
ENSG00000248734.2,0.537038457,0.004155251,0.566672033,0.95493019,0.955217912,0,0.797996826
ENSG00000164308.16,-0.142490286,0.125465368,0.72629136,7.65E-05,0.000102844,0,0.004111047
ENSG00000113441.15,0.018261321,0.004214057,0.916361161,0.754363245,0.755107932,0,0.756807685
ENSG00000150756.13,0.246553149,-0.00203187,0.788535968,0.977886971,0.977887146,1,0.80330906
ENSG00000058729.10,0.727553667,-0.046622603,0.007836766,0.028103087,0.028040718,1,0.221774964
ENSG00000153922.10,-1.244018916,0.105337618,0.058101248,0.040559201,0.045010175,0,0.279785083
ENSG00000174132.8,1.109134289,-0.05375111,0.225396326,0.454759513,0.453404569,1,0.665608323
ENSG00000113532.12,0.579243033,-0.031476279,0.117054066,0.276002903,0.278160689,0,0.573490661
ENSG00000173930.8,-0.85484125,0.041683315,0.042333912,0.210434563,0.216599975,0,0.534673852
ENSG00000145730.20,-2.025446205,0.105624358,2.50E-05,0.005135692,0.005251603,0,0.07837203
ENSG00000145723.16,-0.013451584,0.021471562,0.988319375,0.770147775,0.770953463,0,0.760872679
ENSG00000150753.11,1.330744754,-0.08950831,4.96E-17,5.66E-13,1.56E-11,0,7.37E-09
ENSG00000145725.19,1.555450112,-0.091889474,8.56E-08,6.31E-05,7.97E-05,0,0.003396475
ENSG00000145743.15,0.588475957,-0.038657142,0.554031989,0.618912702,0.62635655,0,0.722062342
ENSG00000151422.12,0.031028637,-0.00411818,0.98742969,0.977701237,0.977701236,1,0.803230031
ENSG00000249476.1,-1.518011325,0.077254761,0.020609927,0.144413421,0.147393854,0,0.461621093
ENSG00000198961.9,0.041186569,-0.001254047,0.692904731,0.87997035,0.879995814,0,0.782878464
ENSG00000112893.9,-2.070476788,0.147945464,0.000470088,0.001256488,0.001688914,0,0.034996148
ENSG00000164237.8,3.453222383,-0.195113279,0.05596867,0.169606965,0.16714673,0,0.482489906
ENSG00000164209.16,1.094057167,-0.067396397,0.04095153,0.112845294,0.11250665,1,0.41329328
ENSG00000134987.11,0.4048538,-0.034561323,0.520434158,0.47076698,0.470696668,0,0.671810415
ENSG00000152495.10,-2.488361997,0.197528009,0.127068906,0.101534851,0.106826566,0,0.407208352
ENSG00000164211.12,0.058702277,0.002998286,0.983246268,0.988761235,0.988821444,0,0.803927451
ENSG00000134986.13,0.302125895,-0.010911948,0.598849888,0.80772776,0.807956385,0,0.768727769
ENSG00000224032.6,-0.0442588,0.012082524,0.980026059,0.929234059,0.930838286,0,0.792034396
ENSG00000134982.16,0.221192437,-0.0105355,0.723425715,0.832429081,0.832427881,1,0.774325444
ENSG00000153037.13,0.869397831,-0.057232953,0.073630379,0.13736216,0.137031981,0,0.447525138
ENSG00000129625.12,-0.805005164,0.048384773,1.38E-07,6.15E-05,8.91E-05,0,0.003661578
ENSG00000172795.15,-0.215562003,0.023449526,0.149461276,0.051781653,0.052148531,0,0.299504623
ENSG00000171444.17,1.146951615,-0.057557431,0.053174357,0.224295335,0.227887848,0,0.544429952
ENSG00000047188.15,-0.772801714,0.050788937,0.000512527,0.003573779,0.003832976,0,0.063911973
ENSG00000164219.9,1.195238289,-0.07535292,0.036373876,0.099554463,0.099306967,1,0.394499296
ENSG00000145495.15,0.116487098,-0.002098678,0.637027858,0.913521995,0.91365079,0,0.789110823
ENSG00000145780.7,0.891409644,-0.073442762,0.013361048,0.010021441,0.010672053,0,0.127133814
ENSG00000243414.5,0.645109417,-0.053201227,0.432683552,0.40883556,0.413486783,0,0.648446774
ENSG00000134970.13,0.115295057,-0.004477752,0.79571506,0.897040543,0.897094696,0,0.785860187
ENSG00000145782.12,-0.738366387,0.049957517,0.003114064,0.010117452,0.012501654,0,0.140276525
ENSG00000177879.15,-0.960502738,0.071606486,0.564449917,0.577125992,0.576538419,0,0.708618949
ENSG00000145491.11,-0.721165428,0.051506968,0.356185751,0.412101258,0.41253601,0,0.647934714
ENSG00000145781.8,-0.718538323,0.044483883,0.107764516,0.196604878,0.198459781,0,0.515676881
ENSG00000172869.14,-1.720034371,0.126355563,0.225125093,0.246669524,0.244873272,1,0.553743623
ENSG00000145779.7,0.172677101,-0.004070554,0.308203608,0.756309435,0.756297074,0,0.757317827
ENSG00000133835.14,-0.072888414,0.015078092,0.77382107,0.442832889,0.442773393,0,0.661652772
ENSG00000205302.6,0.315113587,-0.018398046,0.663805056,0.74183628,0.741814736,0,0.753945534
ENSG00000168944.15,-0.722270986,0.052605281,0.007218908,0.011415482,0.012897005,0,0.14335464
ENSG00000250539.1,3.364048264,-0.276954221,0.071678229,0.051490316,0.054978629,0,0.306888837
ENSG00000151292.17,0.214522131,-0.014343677,0.724928493,0.763823797,0.763840209,0,0.759199158
ENSG00000244361.1,-2.616354959,0.179276427,0.281498783,0.36255197,0.362972078,1,0.623695441
ENSG00000164902.13,0.831816389,-0.060948196,0.175289096,0.197955888,0.197652523,1,0.514924144
ENSG00000113368.11,-0.089910097,0.019588954,0.609760322,0.159164489,0.16061559,0,0.476921149
ENSG00000173926.5,2.473756021,-0.187090429,0.017966142,0.024256822,0.025188393,0,0.208638854
ENSG00000164244.20,-0.096986355,0.00664794,0.594309114,0.638845709,0.639106226,0,0.726034141
ENSG00000245937.7,1.347288899,-0.113799653,0.367415729,0.307862052,0.31102491,0,0.592288055
ENSG00000064651.13,1.432535361,-0.113241616,0.308025864,0.278536081,0.278104727,0,0.573490661
ENSG00000138829.11,-0.792433522,-0.007828803,0.231864092,0.880784987,0.880760713,1,0.782878464
ENSG00000063438.16,-0.048837012,0.039479872,0.980891408,0.807334275,0.804795971,0,0.768377184
ENSG00000066583.11,-0.112984989,0.006993504,0.924123817,0.937307329,0.937219488,0,0.793715968
ENSG00000169567.11,0.045476829,0.009645686,0.883656333,0.69110876,0.691136841,0,0.74000816
ENSG00000186687.15,0.052857991,0.007731027,0.975698751,0.953506924,0.954080782,0,0.797899773
ENSG00000158985.13,0.626525488,-0.040367525,0.126002571,0.203364273,0.203251087,1,0.520424424
ENSG00000158987.20,-0.31131684,0.030390782,0.409280268,0.297491949,0.313997128,0,0.593440793
ENSG00000217128.11,-0.343375976,0.017664132,0.08744912,0.265904631,0.265920434,0,0.567745005
ENSG00000164398.12,1.81025727,-0.146809298,0.224076488,0.199505635,0.200495401,0,0.518274631
ENSG00000072682.18,2.761950977,-0.195475984,0.222169193,0.282096038,0.294645638,0,0.582658415
ENSG00000164236.11,4.492980151,-0.312076422,0.036857722,0.064556874,0.077108329,0,0.358657038
ENSG00000197208.5,0.356337271,-0.004785776,0.005383804,0.642668065,0.642732913,0,0.726989736
ENSG00000197375.12,-0.876426477,0.050548253,0.301343702,0.435780607,0.436638724,0,0.658866037
ENSG00000197536.11,-0.102848869,0.024453444,0.786672402,0.407777967,0.408563704,0,0.647182412
ENSG00000202533.1,1.074330086,-0.058102388,0.149339614,0.298126157,0.297670325,1,0.583453403
ENSG00000234290.2,1.486639432,-0.092917705,9.02E-07,7.94E-05,9.66E-05,0,0.003896491
ENSG00000125347.13,-0.198490709,0.009454575,0.063830715,0.261227483,0.263354577,0,0.566033363
ENSG00000112977.15,0.130476834,0.008180343,0.482387838,0.571068843,0.571750563,0,0.707866007
ENSG00000164402.13,0.53304526,-0.003882168,0.714381498,0.971194387,0.971194894,1,0.801742094
ENSG00000164406.7,-0.620086849,0.036273818,0.581732723,0.677264384,0.678392586,0,0.737628886
ENSG00000072364.12,0.387277327,-0.019181355,0.234025037,0.450488077,0.450459842,1,0.664051433
ENSG00000155329.11,0.137061819,-0.019778987,0.868671268,0.761535012,0.766799586,0,0.759701657
ENSG00000170606.14,1.171901297,-0.07449337,0.001132646,0.007095745,0.007025978,1,0.094925242
ENSG00000113583.7,-0.368737582,0.036800886,0.57867452,0.482847937,0.483655479,0,0.67518531
ENSG00000038382.18,0.218845206,-0.021755189,0.756934606,0.696651944,0.701857843,0,0.741884907
ENSG00000081059.19,0.014178955,0.006862268,0.951344711,0.696558815,0.696561177,1,0.740619702
ENSG00000113558.18,-0.07377404,0.013940962,0.764866719,0.470118269,0.474365819,0,0.672499077
ENSG00000113575.9,-0.229851046,0.016022821,0.274850126,0.334144097,0.334455181,0,0.607066235
ENSG00000119048.7,-0.78602722,0.057640266,0.234875342,0.269493688,0.296611966,0,0.583003475
ENSG00000043143.20,0.328207753,-0.035363976,0.458989858,0.308176071,0.308006419,1,0.591098035
ENSG00000152700.13,-0.212752206,0.008314413,0.583661826,0.787316235,0.787316348,1,0.764435255
ENSG00000164615.4,0.616002822,-0.042235356,0.135617271,0.191173021,0.191059175,1,0.507150017
ENSG00000145569.5,-0.658635558,0.037371409,0.289893801,0.44486138,0.457277166,0,0.666963869
ENSG00000113621.14,1.264625183,-0.100446367,0.010914004,0.00938758,0.009548086,0,0.117598647
ENSG00000224186.8,0.292865824,-0.011262341,0.236499916,0.560239722,0.560228859,1,0.703749682
ENSG00000113648.16,-0.121896301,0.015623486,0.622801135,0.43157459,0.440734567,0,0.66092103
ENSG00000120708.16,0.184726152,0.024460813,0.866821504,0.777067379,0.775113149,0,0.761831648
ENSG00000113658.16,-0.562085814,0.024300277,0.072516931,0.316731954,0.316558158,0,0.594605312
ENSG00000146021.14,1.43959475,-0.096598071,0.316349653,0.363373658,0.363985236,0,0.624250734
ENSG00000177733.6,0.836466133,-0.062157742,0.390617869,0.409088338,0.439797422,0,0.660867094
ENSG00000031003.10,0.940794873,-0.066796242,0.037328219,0.056702065,0.05688494,0,0.311239547
ENSG00000112983.17,0.167786252,-0.019954313,0.577206391,0.401736989,0.405525098,0,0.645342401
ENSG00000094880.10,0.200012819,-0.017199141,0.87912336,0.861067604,0.861065998,1,0.780138903
ENSG00000120709.10,0.003518646,0.004489542,0.965200436,0.480545672,0.481135352,0,0.674530284
ENSG00000120733.13,-0.301715864,0.021122585,0.056383694,0.090941362,0.090913152,1,0.382359142
ENSG00000120705.12,0.309303993,-0.022925474,0.452309182,0.473589179,0.473647047,0,0.67238361
ENSG00000113013.12,0.284930483,-0.020525687,0.226451241,0.249378877,0.251777252,0,0.55913463
ENSG00000044115.20,-1.572142982,0.08857646,9.37E-14,7.57E-08,1.32E-07,0,1.66E-05
ENSG00000120725.12,-0.608102613,0.040250646,0.18428491,0.257504722,0.257282839,0,0.563391803
ENSG00000170476.15,1.537158007,-0.129873787,0.251363013,0.202003651,0.201085497,1,0.518710772
ENSG00000170464.9,3.098352508,-0.199630256,0.079545086,0.131131689,0.12817107,1,0.435628967
ENSG00000154124.4,2.490051697,-0.17740646,0.000683017,0.001744231,0.002193885,0,0.042256491
ENSG00000184584.12,0.138245255,0.010398316,0.307156796,0.322355327,0.322766767,0,0.598855332
ENSG00000171604.11,-0.466884226,0.030137981,0.531575265,0.590214435,0.590174214,1,0.713906454
ENSG00000120306.9,-0.194513921,0.021918781,0.140495754,0.03558624,0.036577542,0,0.250204602
ENSG00000113068.9,-0.453155326,0.032180472,0.033333556,0.049683755,0.049666237,0,0.293010103
ENSG00000154122.12,1.185144409,-0.069279082,0.012971339,0.061840293,0.062349444,0,0.325528403
