nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000235169.7,2.43213096,-0.183774635,0.169979621,0.051182622,0.048244011,0,0.220839652
ENSG00000265972.5,0.31443024,-0.012118317,0.004948821,0.039397405,0.041484125,0,0.201397322
ENSG00000264343.5,-2.069737091,0.093577718,0.32157226,0.392175766,0.390963933,0,0.57101981
ENSG00000131791.7,0.557565923,-0.021146288,0.256117018,0.403476697,0.405504469,0,0.577694723
ENSG00000130764.9,-0.046983445,-0.003826765,0.888989311,0.827340075,0.827432283,0,0.717240236
ENSG00000131778.18,0.945687947,-0.036551733,0.009409687,0.051060036,0.051810994,0,0.226437391
ENSG00000263956.6,-0.398074235,0.04259844,0.735351692,0.478990619,0.47757647,0,0.613653058
ENSG00000269713.7,-5.952365938,0.332283593,0.107510311,0.085602521,0.083152743,0,0.286609051
ENSG00000274265.4,-1.890408068,0.111184825,0.596167117,0.542539031,0.541961141,0,0.638338091
ENSG00000116198.12,-2.239857652,0.100134893,2.90E-10,4.09E-08,3.89E-08,1,5.63E-06
ENSG00000150337.13,-6.914387077,0.336447691,0.004963133,0.008657322,0.016608696,0,0.115422371
ENSG00000203814.6,1.125609121,-0.042655555,0.309955747,0.454789152,0.457204293,0,0.603094792
ENSG00000261716.1,1.545685771,-0.063617958,0.298833017,0.403911112,0.402787119,0,0.576995857
ENSG00000143368.9,1.119554987,-0.051494639,0.125573313,0.181775625,0.186237378,0,0.436279627
ENSG00000198912.10,0.184803133,-0.024329668,0.695442724,0.317965683,0.319229804,0,0.540935341
ENSG00000117362.12,0.049613126,0.001555863,0.889414033,0.933157015,0.933513258,0,0.738462192
ENSG00000266472.5,-0.234809538,0.002814055,0.549116807,0.890118554,0.890621528,0,0.730171403
ENSG00000163125.15,0.466992487,-0.017157197,0.261451026,0.426136926,0.426128333,1,0.588970367
ENSG00000143374.16,0.337563745,-0.026660274,0.728954952,0.597423781,0.597850285,0,0.65613381
ENSG00000143369.14,2.417453979,-0.141111349,0.263093605,0.202834563,0.206486269,0,0.455179397
ENSG00000237781.3,1.335580307,-0.081570036,0.173697509,0.112272275,0.113737637,0,0.339250808
ENSG00000143382.14,0.445552816,-0.005004622,0.74925787,0.945379875,0.945254228,0,0.740152464
ENSG00000203804.4,1.223496574,-0.044116962,0.421947295,0.587873496,0.586084174,0,0.651491119
ENSG00000143384.12,0.164288053,-0.000884187,0.352287706,0.923522176,0.923623645,0,0.736884607
ENSG00000143420.18,-0.336226116,0.022283308,0.440017826,0.325404371,0.325111358,0,0.545082891
ENSG00000143457.10,0.744050303,-0.048726535,0.353114977,0.246748529,0.2522012,0,0.489700028
ENSG00000131697.17,0.990251143,-0.041805305,0.127835829,0.212424173,0.217072762,0,0.465759801
ENSG00000163131.10,-0.009325462,0.007608961,0.973551293,0.605687476,0.606107967,0,0.65880201
ENSG00000143437.20,-0.120934029,0.010736609,0.74316855,0.57628264,0.576270063,1,0.647953772
ENSG00000143418.19,0.27315814,-0.010374528,0.163983187,0.31143159,0.315020039,0,0.53676343
ENSG00000143409.15,-0.052423318,0.006746057,0.876931808,0.708829141,0.710491307,0,0.686620062
ENSG00000069424.14,-0.028449583,-0.002568883,0.893222949,0.817473574,0.817516425,0,0.715911869
ENSG00000213190.3,1.019273371,-0.043167782,0.026921574,0.071500441,0.071591835,0,0.265984331
ENSG00000163154.5,-0.552261784,0.012068071,0.743589523,0.893441385,0.894009867,0,0.730171403
ENSG00000159352.15,-0.133051592,0.004142018,0.531262926,0.710336084,0.710817141,0,0.686620062
ENSG00000143416.20,0.721879268,-0.047986357,0.442887769,0.322659072,0.32264084,0,0.543757536
ENSG00000159377.10,-0.064127743,0.005705503,0.673875463,0.475752263,0.475768056,0,0.612777613
ENSG00000143442.21,-0.411412614,0.030273687,0.436328941,0.267967426,0.27029376,0,0.501371425
ENSG00000182134.15,-0.825073318,0.029967822,0.325069694,0.476672427,0.492833609,0,0.619714972
ENSG00000159445.12,1.473212222,-0.097916543,0.011647597,0.001131417,0.001840907,0,0.029018004
ENSG00000158286.12,1.363340402,-0.029438642,0.797665737,0.91145434,0.915702736,0,0.735868801
ENSG00000163209.14,-0.481929767,0.045178758,0.755172952,0.576430451,0.578259998,0,0.648866222
ENSG00000163221.8,-1.226448463,0.03713955,0.026318727,0.200792947,0.204514528,0,0.454076948
ENSG00000143546.9,-0.093712767,0.015181582,0.789928842,0.418848663,0.420986,0,0.586523077
ENSG00000116237.15,-0.549370669,0.053291233,0.528361517,0.238262432,0.252805463,0,0.489913594
ENSG00000189171.14,1.541060318,-0.050250675,0.555716591,0.715268222,0.715996441,0,0.688072108
ENSG00000158292.6,1.121640912,-0.046485417,0.322895769,0.421612645,0.421372341,0,0.586523077
ENSG00000160679.12,-0.054161118,0.00999574,0.885232055,0.609657736,0.611298665,0,0.660157643
ENSG00000143614.9,-0.133450776,0.003852995,0.42316746,0.654669569,0.654668498,1,0.670458665
ENSG00000160741.16,0.135788332,-0.000541246,0.560589758,0.964223166,0.964296489,0,0.744620473
ENSG00000143578.15,-2.371450691,0.110406734,0.152471551,0.191926872,0.190925053,1,0.440658195
ENSG00000143549.19,-0.655533262,0.031407473,0.020654804,0.033728869,0.038916187,0,0.194443044
ENSG00000143569.18,0.436809683,-0.027330115,0.154571187,0.082744931,0.0826894,1,0.285913061
ENSG00000187017.15,-3.850673364,0.140869281,0.053369472,0.178388602,0.176287172,0,0.424294068
ENSG00000143575.14,0.32295584,-0.01140709,0.38635418,0.557009113,0.558457933,0,0.641595649
