nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000135341.17,0.12202118,NA,0.041139507,-0.012214381,-0.008253563,0.198411245,NA,0.136348147,0.609525871,0.712428692,0.71241126,1,0.883380942
ENSG00000172469.15,0.782958297,-4.728364972,0.000974081,-0.048008271,-0.062795315,4.36E-07,1.01E-11,0.982178285,0.464793742,0.099145708,0.100478846,0,0.620584291
ENSG00000014123.9,0.184699247,NA,-0.085338292,-0.151722583,-0.14556019,0.56518803,NA,0.254092003,0.450576612,0.084484224,0.083866185,1,0.583384463
ENSG00000123545.5,-0.254435614,NA,0.072887864,0.006113639,0.023319078,0.202801753,NA,0.087682988,0.977054961,0.629519589,0.629417504,1,0.872732764
ENSG00000112234.8,0.138578657,-4.750703448,-0.025081905,-0.034020237,0.008905444,0.193897757,4.86E-23,0.436079925,0.186588193,0.739959374,0.739782345,0,0.889699183
ENSG00000132423.11,-0.444146872,NA,-0.082554298,-0.01811928,0.098639299,0.075628042,NA,0.287959211,0.883857855,0.119948834,0.119296729,1,0.644030193
ENSG00000132424.14,0.045968242,NA,-0.00782994,-0.014966746,0.003221443,0.397470677,NA,0.555431622,0.323121519,0.811568631,0.811570145,1,0.89959717
ENSG00000228506.1,-1.264114275,NA,0.021350104,0.032802247,0.136008526,0.000755084,NA,0.764584422,0.640852719,0.156710524,0.152991773,1,0.68540492
ENSG00000145990.10,0.256877364,NA,-0.027622031,0.375930524,-0.020636634,0.012596888,NA,0.283434342,0.008394429,0.447724346,0.447656765,1,0.830360616
ENSG00000123552.17,-0.64464165,NA,0.125102012,-0.012960769,0.133152651,0.056223885,NA,0.27888158,0.752404479,0.097641398,0.096405163,1,0.61593357
ENSG00000112237.12,0.26198088,-4.339223731,0.077560837,0.01146852,-0.080442129,0.456840425,2.94E-08,0.638646319,0.808553482,0.389068421,0.395442055,0,0.812157823
ENSG00000112249.13,-0.000993518,NA,-0.055678175,0.028023214,0.05408096,0.998146708,NA,0.354628378,0.515772478,0.597531284,0.597704507,1,0.870592837
ENSG00000085377.13,0.121446596,-6.776580845,-0.030938784,-0.042961741,-0.0115731,0.188814089,0.000585503,0.145911525,0.096258857,0.609210673,0.609212591,0,0.872107428
ENSG00000057657.15,0.216667382,NA,0.031980317,0.005894369,-0.023682082,0.2070445,NA,0.109025207,0.846624102,0.534187425,0.534079913,1,0.853285499
ENSG00000112297.14,0.093675999,-7.378682508,-0.002590694,0.006863581,0.005912279,0.001187204,1.24E-57,0.754545287,0.695932479,0.419183466,0.420980563,0,0.82239232
ENSG00000124523.15,0.141534733,-4.834386996,3.12E-05,0.011672979,-0.004422446,0.065739935,2.27E-75,0.998819855,0.564530774,0.820908848,0.820913239,0,0.89959717
ENSG00000130348.11,-0.265284754,NA,-0.07714622,-0.021967748,0.025488565,0.113782082,NA,0.056017233,0.631081107,0.522777327,0.522590089,1,0.851110355
ENSG00000272398.5,0.02601508,-6.131528206,-0.028738003,-0.015020241,0.017054569,0.660418442,2.43E-45,0.056550522,0.590336109,0.226093436,0.22776841,0,0.74598983
ENSG00000280135.1,0.049540011,-4.629099706,0.073415525,0.113166143,0.060591325,0.821003299,1.18E-09,0.139983858,0.427897246,0.26313985,0.265500397,0,0.770362483
ENSG00000146285.13,-0.482409453,-3.33513057,-0.075978052,-0.002549459,0.05774422,3.01E-05,4.23E-142,0.065664188,0.939607593,0.042779173,0.043754537,0,0.494741735
ENSG00000025796.13,-0.272499314,-5.222719927,0.02249117,0.023075857,0.018136683,0.020652678,1.27E-22,0.448394584,0.503507661,0.51937124,0.519210846,0,0.850235734
ENSG00000271734.1,-0.491970536,-3.526216196,0.03809808,-0.154329999,0.194615995,0.093553105,6.95E-07,0.794566702,0.240845361,0.015371959,0.018856335,0,0.382455632
ENSG00000081087.14,0.143244624,-6.854057326,-0.007082059,0.012030726,-0.002078282,0.002473983,3.50E-22,0.517357903,0.540940558,0.859940876,0.859993485,0,0.902630898
ENSG00000112335.14,0.126619527,NA,-0.001635286,-0.116252678,-0.010927354,0.453313413,NA,0.953266474,0.523592299,0.795543877,0.79555619,1,0.899277634
ENSG00000118689.14,-0.977876845,-0.82527888,-0.384368593,2.582716788,0.372015281,0.330915648,0.000876865,0.132412726,0.256029552,0.09798357,0.092741996,0,0.609457412
ENSG00000118690.12,0.423480365,-3.775320428,0.319494524,-2.913550025,-0.16473083,0.477200494,0.013570733,0.114270344,0.081180229,0.272948613,0.274868926,0,0.772741137
ENSG00000080546.13,-0.110368039,-5.026182709,-0.039330955,0.03754175,-0.004569163,0.512781289,1.11E-07,0.612143845,0.815263718,0.916314725,0.917172266,0,0.906939256
ENSG00000010017.12,-0.054856942,-5.266243999,0.028561095,-0.025999546,0.040659041,0.748590534,4.15E-07,0.489493236,0.648468465,0.332644596,0.335171888,0,0.793158531
ENSG00000135535.15,-0.127483997,-5.913147895,-0.01488019,-0.003425441,0.000928503,0.000904859,2.12E-307,0.133030648,0.694416852,0.920128755,0.920278397,0,0.906939256
ENSG00000135587.8,-0.271398811,-7.079512243,0.033904296,0.003628522,0.000121099,0.00445614,0.022018564,0.446533963,0.910970076,0.995923672,0.995931196,0,0.914577757
ENSG00000135596.17,-0.060304686,-6.604417958,-0.008232533,-0.003181382,-0.016016674,0.132661753,6.19E-149,0.446999306,0.612529948,0.105947268,0.107828884,0,0.627775055
ENSG00000112365.4,0.067494906,NA,0.007072793,-0.108215583,0.01959389,0.728864703,NA,0.874520375,0.376422191,0.690228062,0.690257341,1,0.880532222
ENSG00000155085.15,0.717759146,NA,0.083763234,0.113878647,-0.054238152,0.063796047,NA,0.664001149,0.177502184,0.606790783,0.607081221,1,0.871561135
ENSG00000112367.10,-0.055263512,-6.454120785,-0.00912055,-0.005317274,-0.000619609,0.399547482,3.39E-14,0.651915182,0.807506292,0.970348932,0.970481275,0,0.913385048
ENSG00000050393.11,0.267109986,-7.458465154,0.001023893,-0.013397482,-0.033421883,0.03996073,0.362635824,0.976904037,0.503117378,0.301745414,0.304369132,0,0.783838111
ENSG00000168438.14,0.273229472,NA,0.062481515,-0.066252939,-0.025682568,0.114854321,NA,0.184996379,0.701628498,0.587107669,0.587014669,1,0.869204643
ENSG00000004809.13,0.536182198,-2.660863816,-0.005747248,0.087950255,0.02708211,0.205884173,3.11E-18,0.943805426,0.151873633,0.790455486,0.792590148,0,0.899277634
ENSG00000155111.14,-0.062609558,-5.797928985,-0.010877888,-0.025699309,0.03794986,0.443285727,1.43E-17,0.568433946,0.342030808,0.065866567,0.068682524,0,0.557201585
ENSG00000123505.15,-0.011757609,-6.777439861,-0.011897284,-0.019814851,0.031757505,0.863057054,1.35E-10,0.680655541,0.13137564,0.069089232,0.070145256,0,0.561988214
ENSG00000180537.12,-2.942295401,0.06197068,-0.328662626,0.145153574,0.347856513,0.002538161,0.830941761,0.284556468,0.151226854,0.137044747,0.113761088,0,0.635361124
ENSG00000197498.12,1.056093366,-3.620876002,0.098229292,-0.888066649,-0.231942099,0.015460817,0.000141368,0.534589936,0.330398221,0.041807685,0.046200706,0,0.501945238
ENSG00000173214.5,-0.025093799,NA,0.234433802,0.026189541,0.036915529,0.95474725,NA,0.289996174,0.694466445,0.722681636,0.722698216,1,0.886762813
ENSG00000009413.15,0.424373126,-6.798508935,0.03369366,-0.018019785,-0.076530757,0.049837434,0.290563023,0.647812936,0.763661626,0.134642933,0.136698591,0,0.669479047
ENSG00000231889.7,0.334310218,-5.832870442,-0.026241544,-0.035744796,-0.069043915,0.21616154,0.07892257,0.645902473,0.432477328,0.305500648,0.308399722,0,0.785540463
ENSG00000056972.18,0.239739861,-4.780309608,0.044215568,0.053965942,-0.075742953,0.340699203,3.62E-06,0.562577531,0.457454378,0.190613088,0.190208045,0,0.721335958
ENSG00000010810.17,0.22665251,-3.506214824,0.165447507,0.056742307,-0.098649773,0.32638585,3.79E-45,0.006072869,0.399783896,0.068516441,0.07096959,0,0.563640484
ENSG00000112149.9,0.338324975,-5.738017993,0.036137066,0.033928267,-0.022374912,0.003356413,9.88E-23,0.276483397,0.300181115,0.409109829,0.409297259,0,0.817158656
ENSG00000277443.2,0.037026952,-5.398698561,0.092245586,-0.019901015,-0.016891067,0.746100343,1.44E-23,1.55E-05,0.468519833,0.564273463,0.568363394,0,0.86264789
ENSG00000196591.11,0.49325713,-6.941911808,0.072155287,-0.047996283,-0.107878114,0.076045592,0.553821002,0.213961847,0.384280262,0.139689437,0.142581254,0,0.675080208
ENSG00000178425.13,-0.541153245,-5.813606739,-0.052839642,-0.062637853,0.144182005,0.030396211,0.132221469,0.432501649,0.296816964,0.01991589,0.021402691,0,0.40226336
ENSG00000187189.10,0.172695016,-5.810421551,-0.026293134,0.002563785,-0.004681274,0.052005696,6.62E-15,0.336409274,0.916447706,0.82934084,0.829319191,0,0.899953321
ENSG00000111817.16,0.480804528,-4.78019992,0.022048363,0.00033739,-0.038685678,1.51E-08,4.39E-63,0.538411862,0.987653259,0.0704711,0.07074046,0,0.563158397
ENSG00000189241.6,-0.378983678,-4.573270563,-0.035338591,0.037526552,0.039289301,0.022513066,2.34E-18,0.284146666,0.267352448,0.350229212,0.355844525,0,0.795491274
ENSG00000250903.8,-0.141214754,NA,-0.115629657,-0.190145667,-0.03209959,0.694766309,NA,0.325693651,0.327371261,0.729862915,0.729872413,1,0.887198833
ENSG00000008083.13,-0.075707146,-5.718492471,-0.027053234,0.023630295,0.023922588,0.52756069,1.30E-10,0.343271204,0.42034657,0.403348588,0.403433328,0,0.815272166
ENSG00000188820.12,-0.45513441,-3.288863488,-0.142424403,-0.019819862,0.012903468,0.043359501,4.03E-38,0.000382675,0.682045966,0.810478882,0.811073821,0,0.89959717
ENSG00000111832.12,0.147894101,NA,0.021854847,0.410542392,-0.048201985,0.620397087,NA,0.865627115,0.181338236,0.526875178,0.526823884,1,0.853285499
ENSG00000153975.9,0.042444553,NA,0.014476986,0.210346738,0.035068447,0.882826379,NA,0.873225984,0.751073027,0.591982615,0.591954547,1,0.869871915
ENSG00000164465.18,1.361233456,NA,-0.294507243,1.334791741,-0.142953331,0.214126678,NA,0.296261431,0.380456998,0.54432645,0.542020144,1,0.8548201
ENSG00000047932.13,0.246904463,NA,-0.046003084,-0.132735612,-0.038631241,0.121400415,NA,0.321801815,0.577798254,0.307649746,0.307375244,1,0.785540463
ENSG00000153989.7,-0.269469488,NA,0.049139286,0.068652811,0.072738377,0.368996971,NA,0.396263804,0.257807733,0.33080982,0.33043495,1,0.793158531
ENSG00000111860.13,0.194235298,-4.273016811,0.104783644,-0.027797308,-0.00207532,0.146965149,1.09E-41,0.001158107,0.323984424,0.949548785,0.949592003,0,0.911300952
ENSG00000111877.17,-0.014459567,NA,-0.047102696,0.011755375,0.033748064,0.912081338,NA,0.209625526,0.811251972,0.300025334,0.300036875,1,0.781803563
ENSG00000111875.7,0.213820175,NA,0.066887329,-0.059011047,-0.028897723,0.589873597,NA,0.40776015,0.349451364,0.780823137,0.780759379,1,0.898531321
ENSG00000111885.6,0.089801553,-5.643531625,-0.014634746,-0.020185333,0.00183446,0.129720431,5.06E-83,0.418744655,0.427182782,0.901250138,0.901663597,0,0.906159704
ENSG00000279453.1,0.308549336,NA,-0.010573932,0.004939618,0.023261373,0.032629963,NA,0.732276655,0.932050423,0.536049634,0.53614152,1,0.853285499
ENSG00000111897.6,0.133274354,-6.920457138,-0.006933205,0.02005783,-0.006461667,9.05E-05,4.93E-99,0.344357361,0.058855396,0.45043797,0.45090266,0,0.831413611
ENSG00000047579.19,-0.093370572,NA,-0.04135531,0.103829582,-0.033443223,0.460523307,NA,0.079631444,0.170572873,0.26902692,0.269182636,1,0.771457898
ENSG00000172594.12,0.99206135,-2.829422586,0.108599067,-0.010576181,-0.128236656,0.000111483,2.77E-33,0.201369408,0.877385476,0.044332589,0.045612422,0,0.499659705
ENSG00000146373.16,0.317592757,NA,-0.099203763,-0.231311232,-0.059483053,0.414078715,NA,0.268769699,0.490325448,0.486964401,0.486499088,1,0.842420541
ENSG00000111906.17,0.328994926,-4.373803251,0.022870122,0.344254564,0.062114326,0.472123327,0.010212721,0.805610367,0.270450798,0.567974144,0.572310163,0,0.863108838
ENSG00000111912.19,-0.039077084,-4.3895647,0.077663028,0.006613313,0.074510131,0.910702534,1.59E-05,0.230105967,0.988478168,0.355587407,0.35833627,0,0.796980067
ENSG00000111911.6,-0.075760966,-4.18031267,-0.008987281,0.241620891,0.046907871,0.707579745,7.90E-19,0.862556687,0.592481834,0.373454419,0.374072182,0,0.805370902
ENSG00000203760.8,-0.135800872,-4.677636741,-0.370756703,-0.593005874,0.097838661,0.911228813,0.028766528,0.891523559,0.696693539,0.447014506,0.448709025,0,0.830680642
ENSG00000007944.14,0.068879425,-7.515261322,0.00727015,0.003862167,0.005347031,0.117772468,9.89E-13,0.695457246,0.838483999,0.625698579,0.626321673,0,0.872226157
ENSG00000093144.18,0.083824246,-7.190950519,0.009862233,-0.030243536,0.020156548,0.333792844,0.018561213,0.65470442,0.545395325,0.351932452,0.355385553,0,0.795491274
ENSG00000172673.10,0.167929684,NA,-0.028706857,0.00274057,0.00054952,0.398296756,NA,0.539492704,0.974023387,0.990768736,0.990768801,1,0.914172791
ENSG00000146376.10,-0.003239679,NA,0.035122575,0.039614515,0.071198108,0.990898123,NA,0.653752053,0.453075983,0.327872996,0.327862576,1,0.792271857
ENSG00000198945.7,0.460513348,-4.28591706,0.009520139,0.102385241,0.021889457,0.009048412,3.57E-20,0.90350184,0.142303834,0.603458554,0.604241055,0,0.870896101
ENSG00000164483.16,-0.269090629,-4.277784248,0.085693769,0.815253638,0.020592471,0.596445454,3.14E-07,0.581222638,0.36075491,0.856946609,0.85741575,0,0.90142748
ENSG00000079819.18,0.643236853,NA,0.036873997,-0.181081238,-0.108177869,0.036785644,NA,0.434736346,0.380735316,0.14305347,0.141724152,1,0.674759789
ENSG00000118520.14,1.107036789,-3.633249846,-0.025577028,0.19332138,-0.075686475,8.14E-05,5.17E-30,0.784847387,0.252815747,0.27082125,0.273043623,0,0.772515857
ENSG00000112282.17,0.522048251,-5.223267405,-0.152047717,0.196118723,-0.039595347,0.261072814,0.024671577,0.36947277,0.375971365,0.704017613,0.703616723,0,0.88198519
ENSG00000079950.13,-0.21712795,-5.575775317,-0.088919738,0.059461555,0.001256657,0.017475138,1.04E-34,4.56E-05,0.584099467,0.957394223,0.957419674,0,0.911300952
ENSG00000112299.7,-0.668000474,-2.862244419,-0.14840331,-0.010725996,-0.011472902,6.91E-09,1.44E-250,2.70E-08,0.790517262,0.686959656,0.686848648,0,0.880532222
ENSG00000093134.14,0.612496174,-4.116929224,0.079806456,0.005055983,-0.006265356,4.91E-16,0,7.73E-06,0.775628988,0.732852268,0.733057133,0,0.888861073
ENSG00000112303.13,1.044667265,-3.201878396,0.145171083,0.024413282,-0.131010791,1.03E-24,0,5.07E-11,0.310853989,1.05E-07,1.80E-07,0,0.000602808
ENSG00000234484.1,-0.380808062,-3.187800936,0.092130069,-0.001453253,-0.083680041,0.072077455,2.73E-32,0.130840224,0.978361267,0.1144524,0.11904138,0,0.643779451
ENSG00000146409.10,1.678410943,NA,0.040175112,0.419928269,-0.152909206,0.002752251,NA,0.7982734,0.377250871,0.301244976,0.298511114,1,0.781803563
ENSG00000112306.7,0.010041655,-7.258569618,-0.014034271,0.006126982,0.00191869,0.566894907,0,0.001234944,0.195082045,0.650394398,0.650515759,0,0.877223058
