nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000135596.17,0.282711328,-6.639167411,-0.004425152,-0.003100785,-0.018068477,0.237778852,8.82E-147,0.676691112,0.618514075,0.090152686,0.095082303,0,0.342382744
ENSG00000112365.4,-0.163402439,NA,0.004551683,-0.110792465,0.013368103,0.90324214,NA,0.917855625,0.364240461,0.819906385,0.819920319,1,0.703248815
ENSG00000155085.15,-0.505203349,NA,0.116074912,0.118867091,0.04643101,0.911685864,NA,0.526417438,0.165502787,0.819528323,0.819702285,1,0.703240582
ENSG00000112367.10,0.318706662,-6.444205856,-0.01036545,-0.004607487,-0.016945812,0.452106492,2.44E-14,0.608614541,0.832849185,0.374181131,0.374182444,0,0.569383257
ENSG00000050393.11,1.557329619,NA,0.001962701,-0.018358818,-0.062368134,0.030085395,NA,0.955429053,0.357096981,0.047710721,0.047561549,1,0.248298032
ENSG00000168438.14,-1.703530432,NA,0.050428436,-0.057480273,0.084595732,0.22096844,NA,0.280542836,0.734379184,0.174836818,0.174320946,1,0.434577684
ENSG00000004809.13,4.158427718,-2.712390933,-0.00850454,0.074208835,-0.154138873,0.061080398,3.36E-18,0.911466648,0.212313309,0.113093337,0.113330806,0,0.370020346
ENSG00000155111.14,-0.245906384,-5.683788541,-0.011375831,-0.024837891,0.01457257,0.624916557,5.82E-20,0.55451656,0.362689081,0.513259678,0.516246143,0,0.619395323
ENSG00000123505.15,-0.326737596,-6.644778661,-0.000113882,-0.017061122,0.019319109,0.476700599,2.40E-12,0.996784148,0.198731158,0.343941218,0.344082978,0,0.55604623
ENSG00000180537.12,1.425090338,0.134866071,-0.375003715,0.135393,-0.133566682,0.789847719,0.641455793,0.228603513,0.184332085,0.574480361,0.574836395,0,0.637508492
ENSG00000197498.12,-0.060670562,-3.157418511,0.041420099,-0.321781,0.014901562,0.983461499,9.22E-06,0.804002287,0.728333915,0.908076783,0.907913041,0,0.720117618
ENSG00000173214.5,-1.198649709,NA,0.212859549,0.026277465,0.056869989,0.732422513,NA,0.334584963,0.693072663,0.705719183,0.70553438,1,0.677470523
ENSG00000009413.15,-0.603021279,-6.234994987,0.054972688,-0.013290801,0.031183063,0.600238767,0.09641245,0.458930865,0.826610985,0.534974802,0.536740267,0,0.625723096
ENSG00000231889.7,-0.25431704,-5.584917632,-0.021515317,-0.02861095,0.013887935,0.839226694,0.034107782,0.709373828,0.532829742,0.799645156,0.801988231,0,0.698817715
ENSG00000056972.18,1.522991324,-4.882375353,0.038870579,0.049497658,-0.06976639,0.205322992,1.19E-05,0.606029391,0.493779978,0.18205298,0.183180974,0,0.443996825
ENSG00000010810.17,1.454670963,-3.479939783,0.144382454,0.050442752,-0.072202122,0.218737684,3.44E-45,0.015823911,0.458707697,0.165309158,0.166244355,0,0.429067199
ENSG00000112149.9,-0.260190115,-5.761375918,0.029302647,0.037651237,0.021833828,0.678015017,2.63E-22,0.371145092,0.248496652,0.419166299,0.421569453,0,0.587531377
ENSG00000277443.2,1.031864189,-5.470608185,0.080528423,-0.023495831,-0.047361396,0.163017856,1.20E-22,0.000310451,0.386313183,0.152348117,0.158754164,0,0.422059325
ENSG00000196591.11,-3.008368097,NA,0.060713131,-0.047289985,0.138015738,0.184464244,NA,0.298612293,0.390601664,0.169231056,0.168279056,1,0.430012897
ENSG00000178425.13,-0.552503834,-4.860305816,-0.064222743,-0.070348791,0.024799779,0.726642851,0.002702662,0.355887551,0.255038471,0.716966589,0.716861759,0,0.680136941
ENSG00000187189.10,0.833582209,-5.941387724,-0.026573568,0.000569756,-0.029826738,0.072244189,9.01E-13,0.325633283,0.981311484,0.142467229,0.144707438,0,0.405799033
ENSG00000111817.16,1.592158408,-4.821378904,0.02822934,-0.000654477,-0.056397071,0.002299693,2.96E-61,0.4283865,0.975920697,0.01582801,0.016151479,0,0.139436151
ENSG00000189241.6,-1.693627977,-4.580823376,-0.032553087,0.036090928,0.064778904,0.133941466,2.77E-18,0.320560383,0.284916797,0.195320671,0.19817943,0,0.457125396
ENSG00000250903.8,0.976528186,NA,-0.100233566,-0.188665452,-0.053893857,0.732661516,NA,0.417164441,0.330006872,0.665457786,0.665541577,1,0.664563683
ENSG00000008083.13,-0.679579647,-5.685090512,-0.025149895,0.024304344,0.030711749,0.279926665,5.18E-11,0.379965037,0.408300523,0.264307465,0.264451074,0,0.506510114
ENSG00000188820.12,-0.773975139,-3.283198579,-0.141620148,-0.019962389,0.016374724,0.558709126,3.76E-38,0.000380912,0.680300411,0.77892476,0.779857338,0,0.694395015
ENSG00000111832.12,2.609468262,NA,0.036852536,0.471222967,-0.117089764,0.217821189,NA,0.774325685,0.131150866,0.212091891,0.211316527,1,0.467679774
ENSG00000153975.9,-2.038444069,NA,0.004828575,0.320606535,0.098151039,0.313573404,NA,0.957727633,0.628455894,0.272015112,0.271497771,1,0.51125568
ENSG00000164465.18,1.435310333,-7.845695978,-0.265874068,0.975065293,-0.030692637,0.728429367,0.887519114,0.34222077,0.513035296,0.861661291,0.861690491,0,0.70989658
ENSG00000047932.13,0.15158432,NA,-0.047193005,-0.135831051,-0.002445648,0.873093976,NA,0.310937297,0.569518917,0.953518951,0.953519194,1,0.727532311
ENSG00000153989.7,-0.035820813,NA,0.032966356,0.068970386,0.002240662,0.983244654,NA,0.591894176,0.255457087,0.976244627,0.976244617,1,0.731913172
ENSG00000111860.13,2.427089472,-4.45529641,0.09843378,-0.035107919,-0.09843007,0.000537657,6.64E-37,0.001581703,0.194440814,0.001365469,0.001601421,0,0.031967984
ENSG00000111877.17,0.223678037,NA,-0.048527049,0.012358139,-0.004706287,0.763262133,NA,0.19586326,0.802162952,0.885383553,0.885383367,1,0.715355056
ENSG00000111875.7,-2.469151485,NA,0.043175198,-0.052728672,0.11231728,0.289232718,NA,0.600055647,0.402489959,0.268322046,0.267540554,1,0.508221226
ENSG00000111885.6,0.288813345,-5.652583588,-0.015087317,-0.019983688,-0.008562949,0.415452314,1.64E-82,0.401666097,0.430106573,0.588088135,0.589169698,0,0.642296384
ENSG00000279453.1,0.772444205,NA,-0.008661077,0.005697145,-0.016783401,0.353932971,NA,0.777288965,0.921642847,0.649643544,0.649657256,1,0.661748108
ENSG00000111897.6,0.700666599,-7.115527083,-0.007359822,0.019338467,-0.02629896,0.000118019,2.19E-82,0.29433524,0.06228616,0.001124541,0.001313921,0,0.028251807
