id,int,sex,cond,sex_cond,p_int,p_sex,p_cond,p_sex_cond
ENSG00000140955.10,0.838918046037279,1.71119817363564,-0.494766840656267,-0.72898158910896,0.254971592977326,0.0247184336148225,0.124428394223964,0.02689208438035
ENSG00000103175.10,-0.925419720829782,-0.304267987174085,0.0567535035600506,0.129082403158645,0.000359027438380858,0.222318815367316,0.578206914692792,0.20801455256142
ENSG00000095906.16,-0.916110964535183,0.00188992242871453,0.0470769807286309,-0.0158937708002342,0.000868777111476494,0.993531449687928,0.618120232634165,0.865927992359939
ENSG00000064270.12,-0.430625835575555,0.289751557630622,-0.19018333614532,-0.112097241068021,0.503839837288036,0.652123110644818,0.489439293847783,0.682833155808676
ENSG00000261286.1,-1.01490462868026,-0.39903246873464,0.0806040397695062,0.153409778913806,0.202911391324144,0.614239384385891,0.804397732735063,0.637651572884179
ENSG00000140950.15,-0.87792006963036,0.0606817609578487,0.0872734791377584,-0.0160792195492842,0.000706245318909171,0.807187506606998,0.394419144676106,0.875008639936884
ENSG00000103187.7,-0.670363209507994,0.0292619983135589,-0.0157087475794107,-0.0114767522877237,9.97416168487894e-11,0.744805943423867,0.660837670031993,0.748477102667528
ENSG00000135686.12,-0.490635132229922,-0.0550445916771889,-0.0575485371021883,0.0175679045061253,0.100202304528162,0.852357491099933,0.636390844155502,0.88517148982531
ENSG00000103194.15,-0.26881130297699,0.569616341017364,-0.193959930478449,-0.241779097191794,0.491869413754314,0.151589325379763,0.230549479145847,0.137992291330606
ENSG00000103196.11,-0.66514171412786,-0.619988556644301,-0.051931964421698,0.249891888538206,0.0594117553948395,0.078410374395712,0.716605742622608,0.0837548511158739
ENSG00000153786.12,-1.15615481766883,0.206378672341061,0.230289131573627,-0.0833858473605218,5.80474757280093e-05,0.418305113662266,0.0374838107691763,0.438474057065824
ENSG00000135709.12,-0.615903969197178,-0.0418753728738242,0.00194606510729745,0.0234032161903301,0.00230079887350508,0.80662806639835,0.978394914165845,0.745111693036782
ENSG00000131149.18,-0.797456791636482,0.0652149428249913,0.040909873229405,-0.0260457539101334,6.49481920017507e-08,0.627768878179979,0.46321083458381,0.640142455067053
ENSG00000131148.8,-0.638018631393809,-0.183198900020992,-0.0321702601201179,0.0845851532543433,0.00488643372585559,0.406927762844021,0.719296264051529,0.345973619855818
ENSG00000131143.8,-0.916346871650975,-0.0846373983922171,0.0941132488571004,0.0350066761606742,0.00797199963012721,0.794249979482689,0.483303894117816,0.793542393525467
ENSG00000140968.10,-0.683384934687893,-1.28424167357697,-0.0465005371655119,0.487036675555432,0.358345798174976,0.0889015186184836,0.872097788312995,0.0980838137505152
ENSG00000268388.5,-1.59092111086155,0.160856684715947,0.306682502192987,-0.0938487686314741,0.00957193634284214,0.781064564648364,0.198029283896979,0.689808256789811
ENSG00000063854.12,0.0433904806568005,0.627779397345609,-0.28094379095234,-0.230463947844164,0.88596699162616,0.0423242849362129,0.0152561943919395,0.0444279049940649
ENSG00000103241.6,-0.337119769626678,0.446405747757832,-0.125765607107784,-0.205062350755763,0.525553439607196,0.403152068238647,0.569475625663026,0.358314681046938
ENSG00000270020.1,0.102694909191201,-0.408776829583323,-0.181157126918444,0.179834464274664,0.815863937708728,0.355982537427005,0.329199281768275,0.332707852234293
ENSG00000103248.18,-0.819115896301158,-0.0882421347028698,0.0203132987368978,0.0341376073826037,0.00150018559788384,0.724784761811084,0.846712562281782,0.745323444295077
ENSG00000260456.6,-1.10376356381623,-0.442872786987735,0.21359369570106,0.193235320636839,0.246132265046565,0.636585627514444,0.595232485236681,0.630543704230681
ENSG00000103264.17,-0.822000618852911,-0.189226664159742,0.0761911386348928,0.0800690082873858,0.000208039737529091,0.288270089238889,0.304055307804292,0.280932784874464
ENSG00000180185.11,-0.550271781166926,0.188695604109672,0.0170954120203058,-0.0934507906691126,0.000181826682826193,0.177000118773598,0.768472428054199,0.111119717557728
ENSG00000140941.12,-0.513727557442405,-0.113038218015206,-0.0719938583654727,0.0497804458858751,0.00110544577713341,0.418058082294518,0.21216221597101,0.383879562214467
ENSG00000140948.11,-0.37589616887579,0.0799202709059678,-0.148847499265322,-0.0292478584347082,0.302888326949283,0.824265085862275,0.309789938702343,0.839711572492655
ENSG00000269935.1,-0.590999400391718,-0.762807143052598,-0.0218800623925477,0.327797405227941,0.0152510906768285,0.00202177295572597,0.82417297220316,0.0013822096452381
ENSG00000154118.12,-0.483335553943909,0.147872107113075,-0.0978961093030877,-0.0620993793152785,3.29155075472243e-06,0.113203631662307,0.0148683607947526,0.115414864811599
ENSG00000104731.13,-0.929338570538288,0.116034808027618,0.0720562422321124,-0.045978158797785,4.47802642123085e-06,0.541431937227636,0.361160132246629,0.559526231948057
