id,int,sex,cond,sex_cond,p_int,p_sex,p_cond,p_sex_cond
ENSG00000152078.9,-0.608923290637236,-0.169296141301758,-0.0513855703815098,0.0704895986020038,0.405175745861654,0.816398400845362,0.859912893464866,0.808729941938822
ENSG00000122481.16,-0.00149987213990015,0.291506157809409,-0.241409215043843,-0.135244798745552,0.998624448846494,0.737768856746326,0.489654994679912,0.698085585118494
ENSG00000117569.18,-0.809485374684906,-0.365186072550591,0.0757568988235585,0.149421570606191,0.166065287536485,0.519564435000302,0.736080241004748,0.508914550198942
ENSG00000188641.12,-0.389164635699666,0.664179252229131,-0.0973742030757707,-0.243179745314788,0.464863104606105,0.216918322117747,0.629198110920305,0.233521413779176
ENSG00000272449.1,-1.19676981972316,0.857840121045735,0.167072876626291,-0.320676599488492,0.232331752357228,0.387975047381517,0.674643352889652,0.423034403601228
ENSG00000162627.16,-2.1703172448958,0.142226674550157,0.550287920276963,-0.0586560973400089,0.291941785310312,0.94401080714982,0.502173496401858,0.942591267944102
ENSG00000117598.11,-1.14798553085538,0.0247482336697193,0.148852751968152,-0.00977616508519953,0.0103813437428001,0.954582151423102,0.381471540480648,0.954002836452263
ENSG00000099260.10,-0.207200175635182,0.750721808261037,-0.211174981027299,-0.268680070765141,0.893688908252653,0.629985508367164,0.730537946124971,0.661789965196949
ENSG00000162688.16,0.700475499078844,1.11619992767035,-0.539593671543324,-0.449041611088326,0.283445314025223,0.0905090545202283,0.0437762836512222,0.0911329690681751
ENSG00000238164.6,0.832432780224473,2.18720113549349,-0.563383504629097,-0.818560500617481,0.749597608121549,0.405431906651791,0.580649524412342,0.424261204996309
ENSG00000117620.14,2.96048415593815,2.65110464637885,-1.39640309626454,-1.04340973390952,0.356515888480662,0.408530420166638,0.264728200866617,0.403135152412196
ENSG00000156875.13,-0.911533826055953,0.291903208825053,0.0733626638455203,-0.116279966112812,0.387045103914131,0.780682483921062,0.859071080820793,0.778461133249039
ENSG00000137992.14,0.00268926467122676,0.146181205691914,-0.255137394222707,-0.0669769854607659,0.996765815299208,0.825648917643502,0.334883037904981,0.799361257797845
ENSG00000137996.12,-0.742469296969714,-0.162583000464664,0.0618682371126473,0.0662698598854268,0.128372849712998,0.734425028536755,0.738536418104351,0.720724790137137
ENSG00000079335.18,0.515632903707025,1.79820014333794,-0.449970506563304,-0.725755865416493,0.834967895298897,0.473606681838796,0.649163997757353,0.467303158450453
ENSG00000181656.6,-3.36221979401431,-3.07449902431887,0.981955916162943,1.17697093904936,0.0268630302351391,0.0411646285536119,0.0921969871075197,0.0464337357622239
ENSG00000157873.17,0.250793737504973,0.731185159997723,-0.377295597012993,-0.286979636289315,0.805805905102653,0.477769246436544,0.371473187607742,0.493546990932961
ENSG00000162694.13,0.0208534695132885,1.98341424450982,-0.257889238625679,-0.780587125989655,0.990051151591918,0.250457067128439,0.696700848675631,0.251192512601907
ENSG00000162695.11,-1.24762161429105,-0.32794581752543,0.227454229752525,0.127662859158315,0.0300932922525082,0.55400561304884,0.283005181597588,0.544117110123212
ENSG00000233184.6,-0.281398500269894,-1.18516440855254,-0.215309142556726,0.464679772672682,0.846457804277653,0.419090822840482,0.705755699144463,0.418758565693283
ENSG00000225938.1,3.78232164058213,3.81272731008107,-1.75976414020923,-1.56266930940334,0.243798268089693,0.240189131716047,0.182538959320019,0.233796669304686
